schedule,seed,coverage_m,expected_s_norm,fid_phi,kid_phi,kid_phi_std,precision_phi,recall_phi,density_phi,coverage_phi,classifier_confidence,balance_error,mean_mse,transition_mse,low_noise_mse,high_noise_mse
cosine_vp,20260526,0.497195,0.5386069024115546,30.650145180462133,25.356779073572643,17.591565395785285,0.846,0.982,0.6092,0.5205,0.9745940566062927,0.23820000886917114,0.0502602532862511,0.031241114484146237,0.11367631703615189,0.003255085884387988
linear_vp,20260526,0.29354,0.3529913260223182,13.146781773431051,52.724412269792644,43.43953191704696,0.8325,0.968,0.6534,0.6105,0.9704820513725281,0.0796000063419342,0.052694538612558975,0.03159331902861595,0.12015572935342789,0.0030999442336478215
uniform,20260526,0.18076,0.23443491247607362,34.36013532185009,132.15073376970386,63.92706956190715,0.792,0.9575,0.5704,0.334,0.9548376798629761,0.0658000111579895,0.048031419626931894,0.03357163933105767,0.10624043668309847,0.003475124716608073
hang_laplace_b0.5,20260526,0.956485,0.9097477002937908,136.67321988105758,95.20425003427835,25.21641559851803,0.6385,0.917,0.255,0.1365,0.9866498112678528,0.46640000119805336,0.18307223019073718,0.031540569849312305,0.45962094912926355,0.010367671288002063
dmsr_normal_s0.3,20260526,1.0,0.9786073979434875,84.35059339309535,190.09432909539734,42.72547239626293,0.2015,0.2425,0.05410000000000001,0.0175,0.9529163241386414,0.3214000016450882,0.3286696856841445,0.03658106783404946,0.7451675683259964,0.09862502116490812
dmsr_normal_s0.8,20260526,0.96787,0.9029903559760425,119.53176607393709,321.36294688745363,84.40583606175132,0.289,0.1995,0.07950000000000002,0.012,0.9245626926422119,0.030399978160858154,0.23952792059862987,0.030241857981309295,0.5889794727166494,0.029675874667351738
dmsr_normal_s1.5,20260526,0.762265,0.7475118590877157,134.91723786078734,83.98420488774464,28.586105991638394,0.7535,0.966,0.3634,0.223,0.9858009815216064,0.4587999992072582,0.13892284393659793,0.03041105647571385,0.34180110146601994,0.010976987274582772
dmsr_normal_s2.5,20260526,0.52417,0.5682289273637549,27.83875245265551,28.47972189386542,20.483737037008833,0.844,0.976,0.6538,0.527,0.9725762009620667,0.22020000219345093,0.058234251013345784,0.03076979680918157,0.13508719230691593,0.0033472812621552937
dmsr_normal_s4.0,20260526,0.345235,0.40615442059555623,60.92139676647317,37.63575546517421,15.320111763949244,0.8625,0.9755,0.6437,0.4235,0.9764113426208496,0.3314000070095062,0.04828323047622689,0.03177847992628813,0.10796346366405488,0.003391142628114561
dmsr_normal_s6.0,20260526,0.23406,0.2896660690913187,62.26264475977558,51.397548051437234,20.971142316313188,0.8455,0.9735,0.5704,0.3125,0.9720581769943237,0.3465999960899353,0.048613157913132456,0.03364994307048619,0.1076605960726738,0.0035539900512530412
dmsr_laplace_b0.5,20260526,0.968625,0.9259343068692789,128.5966863540139,120.7566300993332,19.07537693960798,0.4075,0.3515,0.12290000000000001,0.0545,0.9845836162567139,0.4649999998509884,0.17954106995020994,0.03126857173629105,0.4466626331210136,0.013620866311933188
dmsr_cosmix_w0.5,20260526,0.707255,0.6988016350518589,16.00917308742389,52.06060901458432,40.250570052476256,0.819,0.976,0.6089000000000001,0.5365,0.9725320339202881,0.1274000108242035,0.052154197753043266,0.030941118951886892,0.11876310060421626,0.0033642617319642075
dmsr_cosmix_w0.8,20260526,0.83274,0.7945464810125776,22.59986852404939,33.53594041587752,29.00890252188792,0.82,0.984,0.5874,0.494,0.973827064037323,0.19179999828338623,0.057256715904077285,0.030697671696543694,0.13232595026493071,0.0035175299186341684
