schedule,n_seeds,balance_error_mean,balance_error_std,balance_error_sem,balance_error_n,classifier_confidence_mean,classifier_confidence_std,classifier_confidence_sem,classifier_confidence_n,coverage_m_mean,coverage_m_std,coverage_m_sem,coverage_m_n,coverage_phi_mean,coverage_phi_std,coverage_phi_sem,coverage_phi_n,density_phi_mean,density_phi_std,density_phi_sem,density_phi_n,expected_s_mean,expected_s_std,expected_s_sem,expected_s_n,expected_s_norm_mean,expected_s_norm_std,expected_s_norm_sem,expected_s_norm_n,fid_phi_mean,fid_phi_std,fid_phi_sem,fid_phi_n,frac_class_0_mean,frac_class_0_std,frac_class_0_sem,frac_class_0_n,high_noise_mse_mean,high_noise_mse_std,high_noise_mse_sem,high_noise_mse_n,kid_phi_mean,kid_phi_std,kid_phi_sem,kid_phi_n,kid_phi_std_mean,kid_phi_std_std,kid_phi_std_sem,kid_phi_std_n,low_noise_mse_mean,low_noise_mse_std,low_noise_mse_sem,low_noise_mse_n,mean_mse_mean,mean_mse_std,mean_mse_sem,mean_mse_n,mean_skill_mean,mean_skill_std,mean_skill_sem,mean_skill_n,precision_phi_mean,precision_phi_std,precision_phi_sem,precision_phi_n,recall_phi_mean,recall_phi_std,recall_phi_sem,recall_phi_n,transition_mse_mean,transition_mse_std,transition_mse_sem,transition_mse_n,transition_skill_mean,transition_skill_std,transition_skill_sem,transition_skill_n
cosine_vp,1,0.23820000886917114,nan,nan,1,0.9745940566062927,nan,nan,1,0.497195,nan,nan,1,0.5205,nan,nan,1,0.6092,nan,nan,1,0.8176441573641479,nan,nan,1,0.5386069024115546,nan,nan,1,30.650145180462133,nan,nan,1,0.26179999113082886,nan,nan,1,0.003255085884387988,nan,nan,1,25.356779073572643,nan,nan,1,17.591565395785285,nan,nan,1,0.11367631703615189,nan,nan,1,0.0502602532862511,nan,nan,1,0.949739746713749,nan,nan,1,0.846,nan,nan,1,0.982,nan,nan,1,0.031241114484146237,nan,nan,1,0.9687588855158538,nan,nan,1
linear_vp,1,0.0796000063419342,nan,nan,1,0.9704820513725281,nan,nan,1,0.29354,nan,nan,1,0.6105,nan,nan,1,0.6534,nan,nan,1,0.5358663136883332,nan,nan,1,0.3529913260223182,nan,nan,1,13.146781773431051,nan,nan,1,0.4203999936580658,nan,nan,1,0.0030999442336478215,nan,nan,1,52.724412269792644,nan,nan,1,43.43953191704696,nan,nan,1,0.12015572935342789,nan,nan,1,0.052694538612558975,nan,nan,1,0.947305461387441,nan,nan,1,0.8325,nan,nan,1,0.968,nan,nan,1,0.03159331902861595,nan,nan,1,0.968406680971384,nan,nan,1
uniform,1,0.0658000111579895,nan,nan,1,0.9548376798629761,nan,nan,1,0.18076,nan,nan,1,0.334,nan,nan,1,0.5704,nan,nan,1,0.35588911989428823,nan,nan,1,0.23443491247607362,nan,nan,1,34.36013532185009,nan,nan,1,0.4341999888420105,nan,nan,1,0.003475124716608073,nan,nan,1,132.15073376970386,nan,nan,1,63.92706956190715,nan,nan,1,0.10624043668309847,nan,nan,1,0.048031419626931894,nan,nan,1,0.9519685803730681,nan,nan,1,0.792,nan,nan,1,0.9575,nan,nan,1,0.03357163933105767,nan,nan,1,0.9664283606689423,nan,nan,1
hang_laplace_b0.5,1,0.46640000119805336,nan,nan,1,0.9866498112678528,nan,nan,1,0.956485,nan,nan,1,0.1365,nan,nan,1,0.255,nan,nan,1,1.3810626794609944,nan,nan,1,0.9097477002937908,nan,nan,1,136.67321988105758,nan,nan,1,0.03359999880194664,nan,nan,1,0.010367671288002063,nan,nan,1,95.20425003427835,nan,nan,1,25.21641559851803,nan,nan,1,0.45962094912926355,nan,nan,1,0.18307223019073718,nan,nan,1,0.8169277698092628,nan,nan,1,0.6385,nan,nan,1,0.917,nan,nan,1,0.031540569849312305,nan,nan,1,0.9684594301506877,nan,nan,1
dmsr_normal_s0.3,1,0.3214000016450882,nan,nan,1,0.9529163241386414,nan,nan,1,1.0,nan,nan,1,0.0175,nan,nan,1,0.05410000000000001,nan,nan,1,1.4855966711514959,nan,nan,1,0.9786073979434875,nan,nan,1,84.35059339309535,nan,nan,1,0.1785999983549118,nan,nan,1,0.09862502116490812,nan,nan,1,190.09432909539734,nan,nan,1,42.72547239626293,nan,nan,1,0.7451675683259964,nan,nan,1,0.3286696856841445,nan,nan,1,0.6713303143158555,nan,nan,1,0.2015,nan,nan,1,0.2425,nan,nan,1,0.03658106783404946,nan,nan,1,0.9634189321659505,nan,nan,1
dmsr_normal_s0.8,1,0.030399978160858154,nan,nan,1,0.9245626926422119,nan,nan,1,0.96787,nan,nan,1,0.012,nan,nan,1,0.07950000000000002,nan,nan,1,1.3708045430056932,nan,nan,1,0.9029903559760425,nan,nan,1,119.53176607393709,nan,nan,1,0.5303999781608582,nan,nan,1,0.029675874667351738,nan,nan,1,321.36294688745363,nan,nan,1,84.40583606175132,nan,nan,1,0.5889794727166494,nan,nan,1,0.23952792059862987,nan,nan,1,0.7604720794013702,nan,nan,1,0.289,nan,nan,1,0.1995,nan,nan,1,0.030241857981309295,nan,nan,1,0.9697581420186907,nan,nan,1
dmsr_normal_s1.5,1,0.4587999992072582,nan,nan,1,0.9858009815216064,nan,nan,1,0.762265,nan,nan,1,0.223,nan,nan,1,0.3634,nan,nan,1,1.1347769614665284,nan,nan,1,0.7475118590877157,nan,nan,1,134.91723786078734,nan,nan,1,0.041200000792741776,nan,nan,1,0.010976987274582772,nan,nan,1,83.98420488774464,nan,nan,1,28.586105991638394,nan,nan,1,0.34180110146601994,nan,nan,1,0.13892284393659793,nan,nan,1,0.8610771560634021,nan,nan,1,0.7535,nan,nan,1,0.966,nan,nan,1,0.03041105647571385,nan,nan,1,0.9695889435242862,nan,nan,1
dmsr_normal_s2.5,1,0.22020000219345093,nan,nan,1,0.9725762009620667,nan,nan,1,0.52417,nan,nan,1,0.527,nan,nan,1,0.6538,nan,nan,1,0.8626125295164873,nan,nan,1,0.5682289273637549,nan,nan,1,27.83875245265551,nan,nan,1,0.2797999978065491,nan,nan,1,0.0033472812621552937,nan,nan,1,28.47972189386542,nan,nan,1,20.483737037008833,nan,nan,1,0.13508719230691593,nan,nan,1,0.058234251013345784,nan,nan,1,0.9417657489866542,nan,nan,1,0.844,nan,nan,1,0.976,nan,nan,1,0.03076979680918157,nan,nan,1,0.9692302031908184,nan,nan,1
dmsr_normal_s4.0,1,0.3314000070095062,nan,nan,1,0.9764113426208496,nan,nan,1,0.345235,nan,nan,1,0.4235,nan,nan,1,0.6437,nan,nan,1,0.6165717288446934,nan,nan,1,0.40615442059555623,nan,nan,1,60.92139676647317,nan,nan,1,0.16859999299049377,nan,nan,1,0.003391142628114561,nan,nan,1,37.63575546517421,nan,nan,1,15.320111763949244,nan,nan,1,0.10796346366405488,nan,nan,1,0.04828323047622689,nan,nan,1,0.9517167695237732,nan,nan,1,0.8625,nan,nan,1,0.9755,nan,nan,1,0.03177847992628813,nan,nan,1,0.9682215200737119,nan,nan,1
dmsr_normal_s6.0,1,0.3465999960899353,nan,nan,1,0.9720581769943237,nan,nan,1,0.23406,nan,nan,1,0.3125,nan,nan,1,0.5704,nan,nan,1,0.439734002514104,nan,nan,1,0.2896660690913187,nan,nan,1,62.26264475977558,nan,nan,1,0.1534000039100647,nan,nan,1,0.0035539900512530412,nan,nan,1,51.397548051437234,nan,nan,1,20.971142316313188,nan,nan,1,0.1076605960726738,nan,nan,1,0.048613157913132456,nan,nan,1,0.9513868420868675,nan,nan,1,0.8455,nan,nan,1,0.9735,nan,nan,1,0.03364994307048619,nan,nan,1,0.9663500569295138,nan,nan,1
