schedule,seed,coverage_m,expected_s_norm,fid_phi,kid_phi,kid_phi_std,precision_phi,recall_phi,density_phi,coverage_phi,classifier_confidence,balance_error,mean_mse,transition_mse,low_noise_mse,high_noise_mse
cosine_vp,20260526,0.38115,0.4281974505139063,3.778160513866427,1.1944987702494918,0.8562939424204773,0.817,0.968,0.577,0.694,0.9669602513313293,0.038600027561187744,0.05809273909108015,0.029899294177691143,0.12244898760143448,0.0036871181972160496
linear_vp,20260526,0.234475,0.291388247356496,1.6031263393963964,0.6383947247206563,0.7701078488104146,0.8595,0.9695,0.6759000000000001,0.8145,0.9794674515724182,0.01639997959136963,0.05964791101359879,0.030165336715678375,0.12627590097048702,0.003425535514800097
uniform,20260526,0.12781,0.17961560158093365,3.776150856388407,1.2696865529917707,0.8794299641566607,0.8015,0.96,0.5437000000000001,0.6505,0.9646978378295898,0.018999993801116943,0.054751250438857826,0.032144055080910526,0.11374022592516507,0.003741285078884924
dmsr_normal_s0.5,20260526,0.847235,0.8470163457523474,30.979258717285102,5.072917103299228,1.589645510087057,0.213,0.1945,0.0569,0.027,0.9428234100341797,0.29680001735687256,0.3220650902483612,0.029570044328769047,0.586370290202253,0.16099343591314905
dmsr_normal_s1.5,20260526,0.54879,0.5872334954990482,11.817046108005199,2.286225511450719,0.7929458772563132,0.628,0.9445,0.28290000000000004,0.1815,0.9414152503013611,0.1290000081062317,0.14024811051785946,0.02924584597349167,0.2994652105604901,0.020208280314417446
dmsr_normal_s4.0,20260526,0.248225,0.30744866434728835,2.6325302772715053,0.8627600781142108,0.7728803378120523,0.8295,0.972,0.5790000000000001,0.722,0.9697574973106384,0.030600011348724365,0.05516957770996669,0.030436751743157704,0.11543172378750409,0.0036366643265971694
dmsr_laplace_b0.5,20260526,0.811355,0.8113578233382496,22.00145685971546,3.724901959213103,0.7333305485433174,0.354,0.3815,0.1125,0.0365,0.9326003193855286,0.18480002880096436,0.17861571565736084,0.029201652544240158,0.38288722231107597,0.02707858422004125
dmsr_laplace_b1.5,20260526,0.51776,0.5572661350871823,2.930816285917129,0.9010884197581897,0.6390303988183056,0.792,0.9805,0.4798,0.6225,0.965449333190918,0.03579998016357422,0.06551573419856141,0.02998475916683674,0.13966847802786267,0.003903334498104146
dmsr_laplace_b4.0,20260526,0.260755,0.3184325389052542,5.087789565023544,1.4809548985490897,0.7929846160362573,0.768,0.966,0.4861,0.603,0.9597359299659729,0.06339997053146362,0.05508614893151389,0.03096263234814008,0.11481715278590426,0.0038693274006672096
at0_normal_s0.5,20260526,0.989725,0.800870013652616,57.20527898858716,17.77597294420955,5.420018931937037,0.092,0.178,0.0205,0.008,0.9640893340110779,0.38260000944137573,0.30188395935110746,0.028958046808838844,0.6426465701969231,0.05744814116726903
at0_normal_s1.5,20260526,0.60628,0.608534065798252,2.736535313859142,0.7352631470805469,0.6560391098532744,0.778,0.9795,0.5007,0.6085,0.9662196040153503,0.03420001268386841,0.1587624326115474,0.028965378801027935,0.35582952398587675,0.007506066111519057
at0_normal_s4.0,20260526,0.25107,0.3124136236772483,3.38683427412838,1.044132300721756,0.7807380073214377,0.818,0.964,0.5795,0.708,0.9675756096839905,0.040199995040893555,0.05597221749994787,0.030353525032599766,0.11739458099884145,0.0035917454601183314
at0_laplace_b0.5,20260526,0.92324,0.7718029104594154,7.2250649224245835,1.6782811042631516,0.7354705797390939,0.699,0.9685,0.36840000000000006,0.3565,0.9501881003379822,0.10039997100830078,0.1979914719122462,0.02881379146128893,0.4442071862080518,0.011485527187366696
at0_laplace_b1.5,20260526,0.57394,0.5648475632598746,1.6662178443682436,0.5631234964081737,0.5684691155719698,0.809,0.974,0.5593,0.712,0.9733366966247559,0.019200026988983154,0.06216216881148284,0.029384412492314976,0.13226322150405714,0.0036297359962618966
at0_laplace_b4.0,20260526,0.27466,0.3254325359152724,5.138511636296829,1.4886033439559168,0.7388578850085459,0.799,0.969,0.4979,0.6205,0.9607208967208862,0.052799999713897705,0.05500511880563863,0.030928319320082664,0.11468728324946235,0.003820648297893486
