schedule,seed,coverage_m,expected_s_norm,fid_phi,kid_phi,kid_phi_std,precision_phi,recall_phi,density_phi,coverage_phi,classifier_confidence,balance_error,mean_mse,transition_mse,low_noise_mse,high_noise_mse
cosine_vp,20260526,0.49722,0.5175679396099899,53.346753971279306,53.65714421756629,20.934206733118735,0.8445,0.983,0.5785,0.483,0.969855546951294,0.20440000295639038,0.05476003286894411,0.02178981644101441,0.1167001947760582,0.0021452981357773146
linear_vp,20260526,0.334355,0.3854843180048848,27.118833861076368,97.2582593565045,47.37096965954581,0.856,0.9615,0.6044,0.553,0.9689167737960815,0.08639997243881226,0.05510350078056945,0.0222167115425691,0.11748052717131727,0.0019491584646554353
uniform,20260526,0.179785,0.23541856772405512,50.170622850480754,103.38647259213225,40.611177176206134,0.8125,0.9635,0.5209,0.354,0.9599144458770752,0.171999990940094,0.048353159488397066,0.023410940542817116,0.10084876374286764,0.0021606581043063975
hang_laplace_b0.5,20260526,0.95692,0.8605615660455026,110.03133724819652,232.85993127614032,45.76108588766209,0.6095,0.889,0.2627,0.108,0.9325686693191528,0.18159997463226318,0.18636378392693587,0.020954608567990363,0.41996606395525093,0.009832760086283088
dmsr_normal_s0.3,20260526,1.0,0.9488565764591956,483.98020510014317,2209.0854803281845,181.9362137771217,0.0,0.0,0.0,0.0,0.9985591769218445,0.4992000000202097,0.34001648223493247,0.02234039979521185,0.7222739712280386,0.07621857201059659
dmsr_normal_s0.8,20260526,0.96839,0.8381646286976852,148.1004582198992,431.80259318009195,61.181997670110725,0.2735,0.2455,0.0864,0.0155,0.9084195494651794,0.02039998769760132,0.2555160429212265,0.02079108275938779,0.5719398849588984,0.022089000698179005
dmsr_normal_s1.5,20260526,0.76172,0.7021152703689708,108.51969818441711,73.12759647623699,26.86017103517414,0.817,0.9825,0.5111,0.3855,0.9709633588790894,0.31040000915527344,0.1554532040929189,0.020840316894464195,0.35003262561033754,0.006723399545686941
dmsr_normal_s2.5,20260526,0.52462,0.5499519350814114,55.22662300308584,46.363737034653184,18.886735656497393,0.8475,0.98,0.5853,0.5195,0.9739546775817871,0.21539998054504395,0.060107376192172525,0.0215317124966532,0.12946319207549095,0.0020778054953552783
dmsr_normal_s4.0,20260526,0.344175,0.4007190044523658,93.2790542904766,62.74885069937656,24.603309231655487,0.8475,0.974,0.5515,0.4305,0.9744415283203125,0.2850000262260437,0.049518983950838445,0.022477249265648425,0.10409125532297527,0.0020926682278513908
dmsr_normal_s6.0,20260526,0.23427,0.28920648836302215,44.41489228311295,118.20681203465315,47.30279343053849,0.8095,0.9665,0.5246000000000001,0.3475,0.9589637517929077,0.14859998226165771,0.04824566514507751,0.02319783018901944,0.10076887598809074,0.0020782048328934857
dmsr_laplace_b0.5,20260526,0.968675,0.8771854815398712,108.88783256919768,130.78498703144732,29.88074544777864,0.763,0.965,0.4183,0.2115,0.953087329864502,0.2807999849319458,0.205664650228573,0.02082334423903376,0.4661809653043747,0.008994856337085366
dmsr_cosmix_w0.5,20260526,0.707375,0.6570150790440592,41.51734629574027,166.54864215013905,63.5975348187445,0.803,0.9805,0.5408000000000001,0.3735,0.9549241065979004,0.07279998064041138,0.05208255550605827,0.021665013511665165,0.11038879239383866,0.0022248427635834862
dmsr_cosmix_w0.8,20260526,0.83234,0.7402021219282169,44.18054909061077,185.61265851150668,68.55549409741054,0.802,0.977,0.5257,0.3525,0.9522328972816467,0.05140000581741333,0.05801508873628336,0.021496288827620447,0.12431604305610937,0.0023507004584341
