schedule,seed,sigma,mse,bayes_mse,excess_mse,mode_error
cosine_vp_as_ve,20260526,0.010000000000000005,0.047734130173921585,9.542484622215852e-05,0.04782722890377045,0.0
cosine_vp_as_ve,20260526,0.01100994602298563,0.05356958508491516,0.00011811805597972125,0.053522564470767975,0.0
cosine_vp_as_ve,20260526,0.012121891142905695,0.03798660635948181,0.0001605519064469263,0.037813544273376465,0.0
cosine_vp_as_ve,20260526,0.013346136717989924,0.04034791886806488,0.00017270538955926895,0.04015643149614334,0.0
cosine_vp_as_ve,20260526,0.01469402448804556,0.07157329469919205,0.00023407532717101276,0.07278938591480255,0.0
cosine_vp_as_ve,20260526,0.01617804164738105,0.11671637743711472,0.0002449161256663501,0.11724979430437088,0.0
cosine_vp_as_ve,20260526,0.01781193652952788,0.12833189964294434,0.0003437181585468352,0.12897279858589172,0.0
cosine_vp_as_ve,20260526,0.019610845975494787,0.10199005156755447,0.00036461607669480145,0.1016046479344368,0.0
cosine_vp_as_ve,20260526,0.02159143556552824,0.04142579436302185,0.0004382277256809175,0.04017772525548935,0.0
cosine_vp_as_ve,20260526,0.023772054013523794,0.02810528129339218,0.0005291799898259342,0.026995353400707245,0.0
cosine_vp_as_ve,20260526,0.02617290315443958,0.028215153142809868,0.0006737281801179051,0.028647616505622864,0.0
cosine_vp_as_ve,20260526,0.028816225099520986,0.02754703164100647,0.0007529181893914938,0.02717677503824234,0.0
cosine_vp_as_ve,20260526,0.03172650829319295,0.04781841114163399,0.001105802832171321,0.04609362781047821,0.0
cosine_vp_as_ve,20260526,0.03493071438058602,0.06037866324186325,0.0011445549316704273,0.05797823518514633,0.0
cosine_vp_as_ve,20260526,0.038458527987457976,0.05839715898036957,0.0014438219368457794,0.05617794021964073,0.0
cosine_vp_as_ve,20260526,0.04234263172653941,0.050243064761161804,0.001840026001445949,0.049207113683223724,0.0
cosine_vp_as_ve,20260526,0.04661900897803576,0.03849267214536667,0.001870839623734355,0.035931751132011414,0.0
cosine_vp_as_ve,20260526,0.0513272772493256,0.03736407309770584,0.002497131936252117,0.03606876730918884,0.0
cosine_vp_as_ve,20260526,0.05651105520218928,0.046011243015527725,0.0033798336517065763,0.03996610641479492,0.0
cosine_vp_as_ve,20260526,0.062218366747806474,0.05559307709336281,0.004213773179799318,0.04792385548353195,0.0
cosine_vp_as_ve,20260526,0.0685020859531673,0.04783397167921066,0.0039008704479783773,0.04828600585460663,0.0
cosine_vp_as_ve,20260526,0.07542042688062935,0.056736186146736145,0.005020890384912491,0.04954566806554794,0.0
cosine_vp_as_ve,20260526,0.0830374828986263,0.04088738188147545,0.006410274654626846,0.03566679731011391,0.0
cosine_vp_as_ve,20260526,0.09142382045984675,0.03935651481151581,0.008372052572667599,0.030688542872667313,0.0
cosine_vp_as_ve,20260526,0.10065713284780411,0.04938419908285141,0.010737309232354164,0.03690950945019722,0.0
cosine_vp_as_ve,20260526,0.11082295994828163,0.07741232216358185,0.011386418715119362,0.06537452340126038,0.0
cosine_vp_as_ve,20260526,0.12201548071380787,0.10078232735395432,0.01566263847053051,0.08572758734226227,0.0
cosine_vp_as_ve,20260526,0.13433838566276676,0.0973738580942154,0.016114890575408936,0.08472348749637604,0.0
