schedule,num_seeds,coverage_m_mean,coverage_m_std,expected_s_norm_mean,expected_s_norm_std,mean_mse_mean,mean_mse_std,mean_bayes_mse_mean,mean_bayes_mse_std,mean_excess_mse_mean,mean_excess_mse_std,transition_mse_mean,transition_mse_std,transition_bayes_mse_mean,transition_bayes_mse_std,transition_excess_mse_mean,transition_excess_mse_std,low_noise_mse_mean,low_noise_mse_std,high_noise_mse_mean,high_noise_mse_std,mean_mode_error_mean,mean_mode_error_std,transition_mode_error_mean,transition_mode_error_std
cosine_vp,3,0.58843,0.0012716819570945915,0.5745563877249626,0.0008734507588821959,0.5033173160040557,0.0023380335540671916,0.5000680382926173,0.0019190537484351632,0.0032699104105631707,0.0007603786433229568,0.5473316648492107,0.002870860547760967,0.5441486774771301,0.0036340444039976378,0.0032891254708778835,0.0013821497615066265,0.9703418324733603,0.004942761304077234,0.068894005191249,0.00225148246434922,0.19374186197916665,0.0027596773276092838,0.04981825086805556,0.000881931868869839
dmsr_laplace_b0.5,3,0.986815,0.0003170567772497509,0.9348694590697003,0.0001539028884787225,0.6735911009988437,0.15986520701220738,0.5000680382926173,0.0019190537484351632,0.1736302095647261,0.16069079586540722,0.5480918222003512,0.005351809827090528,0.5441486774771301,0.0036340444039976378,0.0040789234906831685,0.001157575108197776,1.0105889788989364,0.014188876743284397,0.4458956027949097,0.3913797660355691,0.20134073893229165,0.0019685643628312853,0.050048828125,0.0010798860296963434
dmsr_normal_mid_s0.8,3,0.9923283333333334,0.0002213782584928654,0.9114827640124222,0.0003210200483402989,0.850798325923582,0.2962084926639104,0.5000680382926173,0.0019190537484351632,0.3508687559141739,0.29555878348183545,0.5477262900935279,0.004230920677234287,0.5441486774771301,0.0036340444039976378,0.0036898095535838767,0.0014490398971707418,1.0066266135237685,0.00213899342734012,0.8791703351519325,0.7146276862576922,0.2002166748046875,0.0033678632885608497,0.05004430700231482,0.0009782877936535047
dmsr_normal_narrow_s0.3,3,1.0,0.0,0.9854541997512295,5.919774313225003e-05,0.6756318414350971,0.07466148191913934,0.5000680382926173,0.0019190537484351632,0.17519264952037095,0.07484166082598913,0.598230539648621,0.013548569301944959,0.5441486774771301,0.0036340444039976378,0.05452619550137402,0.013414158113721668,1.1725610158909328,0.026154299072862666,0.2811553981907741,0.15929779141091438,0.19594319661458334,0.005718496892014602,0.049854419849537035,0.0006689275651163235
dmsr_normal_wide_s1.5,3,0.8563666666666667,0.0006454133042735745,0.7741435729954697,0.0006377875831987456,0.5320131663116626,0.022321735318628556,0.5000680382926173,0.0019190537484351632,0.031916690990571324,0.020418017075852835,0.5473525314419357,0.003885758648245256,0.5441486774771301,0.0036340444039976378,0.003215703299415677,0.00010921957531368147,0.9849031869022326,0.004464123587322064,0.12565197935798253,0.057061116819921556,0.2025146484375,0.002400515488681881,0.04992223668981482,0.0008319480001035928
hang_laplace_lambda_b0.5,3,0.9834866666666667,0.00018468441551289052,0.8863823136213842,0.0001245540377425922,0.5909594020030151,0.07311983252101698,0.5000680382926173,0.0019190537484351632,0.09112355347181922,0.07443866923754966,0.5499024523629084,0.004893161676321407,0.5441486774771301,0.0036340444039976378,0.005844006617230157,0.002040323668425767,1.0230637918943646,0.005060864814566466,0.2336260015991601,0.18332095108656515,0.2015116373697917,0.0033044722384001296,0.050098560474537035,0.0008953192849020963
uniform_lambda,3,0.22329,0.0006884947349108774,0.25952966886118056,0.00035304786107900817,0.5018107322745589,0.0017670265578475979,0.5000680382926173,0.0019190537484351632,0.0018809537541225531,0.0006879085801553619,0.5475278447071711,0.0044236987287152325,0.5441486774771301,0.0036340444039976378,0.003633940044825,0.0007024928866372814,0.9699736292334808,0.004855828289836847,0.06545824634741447,0.0011527551531522685,0.19503072102864583,0.0032732664540046125,0.04991319444444445,0.000967573070041873
