lambda,x,density
4.0,-4.028028028028028,0.11432212935724996
4.0,-4.012012012012012,0.11625556083874151
4.0,-3.9959959959959956,0.11819136929365825
4.0,-3.97997997997998,0.12012859304262662
4.0,-3.9639639639639643,0.12206625342152802
4.0,-3.947947947947948,0.12400335551530417
4.0,-3.931931931931932,0.12593888892469948
4.0,-3.9159159159159156,0.12787182856528434
4.0,-3.8998998998999,0.12980113549802894
4.0,-3.8838838838838843,0.13172575779063606
4.0,-3.8678678678678677,0.13364463140876603
4.0,-3.851851851851852,0.13555668113622482
4.0,-3.8358358358358355,0.13746082152311928
4.0,-3.81981981981982,0.1393559578609145
4.0,-3.8038038038038042,0.14124098718327066
4.0,-3.7877877877877877,0.14311479929146798
4.0,-3.771771771771772,0.14497627780317085
4.0,-3.7557557557557555,0.14682430122322387
4.0,-3.73973973973974,0.14865774403511056
4.0,-3.723723723723724,0.15047547781165616
4.0,-3.7077077077077076,0.1522763723434978
4.0,-3.691691691691692,0.15405929678379765
4.0,-3.6756756756756754,0.15582312080762636
4.0,-3.65965965965966,0.1575667157843953
4.0,-3.643643643643644,0.15928895596167955
4.0,-3.6276276276276276,0.16098871965872655
4.0,-3.611611611611612,0.16266489046791396
4.0,-3.5955955955955954,0.16431635846238568
4.0,-3.5795795795795797,0.1659420214080612
4.0,-3.563563563563563,0.1675407859781929
4.0,-3.5475475475475475,0.169111568968615
4.0,-3.531531531531532,0.17065329851181577
4.0,-3.5155155155155153,0.17216491528794142
4.0,-3.4994994994994997,0.17364537373083289
4.0,-3.483483483483483,0.1750936432271858
4.0,-3.4674674674674675,0.17650870930691823
4.0,-3.451451451451452,0.17788957482283363
4.0,-3.4354354354354353,0.17923526111766444
4.0,-3.4194194194194196,0.18054480917659282
4.0,-3.403403403403403,0.18181728076335565
4.0,-3.3873873873873874,0.18305175953805208
4.0,-3.3713713713713718,0.1842473521547973
4.0,-3.3553553553553552,0.18540318933738287
4.0,-3.3393393393393396,0.18651842693113474
4.0,-3.323323323323323,0.18759224692919096
4.0,-3.3073073073073074,0.18862385847145172
4.0,-3.2912912912912917,0.18961249881449893
4.0,-3.275275275275275,0.1905574342708198
4.0,-3.2592592592592595,0.1914579611157162
4.0,-3.243243243243243,0.19231340646033335
4.0,-3.2272272272272273,0.19312312908929016
4.0,-3.2112112112112117,0.19388652026145411
4.0,-3.195195195195195,0.19460300447245965
4.0,-3.1791791791791795,0.195272040177634
4.0,-3.163163163163163,0.19589312047406035
4.0,-3.1471471471471473,0.1964657737405741
4.0,-3.1311311311311307,0.1969895642345631
4.0,-3.115115115115115,0.19746409264451362
4.0,-3.0990990990990994,0.1978889965973222
4.0,-3.083083083083083,0.19826395111947068
4.0,-3.067067067067067,0.19858866905124295
4.0,-3.0510510510510507,0.19886290141324517
4.0,-3.035035035035035,0.19908643772457363
4.0,-3.0190190190190194,0.19925910627206214
4.0,-3.003003003003003,0.1993807743301267
4.0,-2.986986986986987,0.19945134833081307
4.0,-2.9709709709709706,0.19947077398374355
4.0,-2.954954954954955,0.1994390363457466
4.0,-2.9389389389389393,0.19935615984004576
4.0,-2.9229229229229228,0.19922220822497252
4.0,-2.906906906906907,0.19903728451226044
4.0,-2.8908908908908906,0.19880153083506655
