schedule,seed,lambda,mse
cosine_vp,20260526,-10.0,0.00016660695837344974
cosine_vp,20260526,-9.487179487179487,0.00014904244744684547
cosine_vp,20260526,-8.974358974358974,0.0001557220093673095
cosine_vp,20260526,-8.461538461538462,0.00017239240696653724
cosine_vp,20260526,-7.948717948717949,0.0002043199638137594
cosine_vp,20260526,-7.435897435897436,0.00027580210007727146
cosine_vp,20260526,-6.923076923076923,0.00037442788016051054
cosine_vp,20260526,-6.410256410256411,0.00047502436791546643
cosine_vp,20260526,-5.897435897435898,0.0007236984674818814
cosine_vp,20260526,-5.384615384615385,0.0010888513643294573
cosine_vp,20260526,-4.871794871794872,0.0016904885414987803
cosine_vp,20260526,-4.3589743589743595,0.0025001149624586105
cosine_vp,20260526,-3.8461538461538467,0.003911508712917566
cosine_vp,20260526,-3.333333333333334,0.005791674833744764
cosine_vp,20260526,-2.820512820512821,0.007990260608494282
cosine_vp,20260526,-2.3076923076923084,0.01107316929847002
cosine_vp,20260526,-1.7948717948717956,0.013473314233124256
cosine_vp,20260526,-1.2820512820512828,0.01533366460353136
cosine_vp,20260526,-0.76923076923077,0.017898403108119965
cosine_vp,20260526,-0.2564102564102573,0.02256491221487522
cosine_vp,20260526,0.2564102564102555,0.02549535594880581
cosine_vp,20260526,0.7692307692307683,0.030507178977131844
cosine_vp,20260526,1.282051282051281,0.036615997552871704
cosine_vp,20260526,1.7948717948717938,0.0439816489815712
cosine_vp,20260526,2.3076923076923066,0.054108355194330215
cosine_vp,20260526,2.8205128205128194,0.06102382764220238
cosine_vp,20260526,3.333333333333332,0.07321874052286148
cosine_vp,20260526,3.846153846153845,0.08146495372056961
cosine_vp,20260526,4.358974358974358,0.08987907320261002
cosine_vp,20260526,4.8717948717948705,0.09725305438041687
cosine_vp,20260526,5.384615384615383,0.10420390218496323
cosine_vp,20260526,5.897435897435896,0.11042913794517517
cosine_vp,20260526,6.410256410256409,0.1163601204752922
cosine_vp,20260526,6.92307692307692,0.11956065148115158
cosine_vp,20260526,7.435897435897434,0.12553757429122925
cosine_vp,20260526,7.948717948717949,0.13792049884796143
cosine_vp,20260526,8.46153846153846,0.1406571865081787
cosine_vp,20260526,8.974358974358971,0.1614447385072708
cosine_vp,20260526,9.487179487179485,0.1815013885498047
cosine_vp,20260526,10.0,0.2020062506198883
linear_vp,20260526,-10.0,8.884569251677021e-05
linear_vp,20260526,-9.487179487179487,7.774809637339786e-05
linear_vp,20260526,-8.974358974358974,8.565346070099622e-05
linear_vp,20260526,-8.461538461538462,0.00010532765736570582
linear_vp,20260526,-7.948717948717949,0.00013713949010707438
linear_vp,20260526,-7.435897435897436,0.00019761935982387513
linear_vp,20260526,-6.923076923076923,0.0002863993577193469
linear_vp,20260526,-6.410256410256411,0.0003867977065965533
linear_vp,20260526,-5.897435897435898,0.0006282975082285702
linear_vp,20260526,-5.384615384615385,0.0009681543451733887
linear_vp,20260526,-4.871794871794872,0.00151522783562541
linear_vp,20260526,-4.3589743589743595,0.002295057289302349
linear_vp,20260526,-3.8461538461538467,0.003651337930932641
linear_vp,20260526,-3.333333333333334,0.005469522904604673
linear_vp,20260526,-2.820512820512821,0.007685359567403793
linear_vp,20260526,-2.3076923076923084,0.010679983533918858
linear_vp,20260526,-1.7948717948717956,0.013137398287653923
linear_vp,20260526,-1.2820512820512828,0.015141967684030533
linear_vp,20260526,-0.76923076923077,0.01780776120722294
linear_vp,20260526,-0.2564102564102573,0.022807763889431953
linear_vp,20260526,0.2564102564102555,0.02578744851052761
linear_vp,20260526,0.7692307692307683,0.030707435682415962
linear_vp,20260526,1.282051282051281,0.03711511939764023
linear_vp,20260526,1.7948717948717938,0.044485725462436676
linear_vp,20260526,2.3076923076923066,0.05446342006325722
linear_vp,20260526,2.8205128205128194,0.061737559735774994
linear_vp,20260526,3.333333333333332,0.07469581812620163
linear_vp,20260526,3.846153846153845,0.08257707953453064
linear_vp,20260526,4.358974358974358,0.09094886481761932
linear_vp,20260526,4.8717948717948705,0.09827740490436554
linear_vp,20260526,5.384615384615383,0.1051587238907814
linear_vp,20260526,5.897435897435896,0.11159426718950272
linear_vp,20260526,6.410256410256409,0.11745777726173401
linear_vp,20260526,6.92307692307692,0.12110971659421921
linear_vp,20260526,7.435897435897434,0.12797003984451294
linear_vp,20260526,7.948717948717949,0.14076578617095947
linear_vp,20260526,8.46153846153846,0.14409160614013672
linear_vp,20260526,8.974358974358971,0.1669955551624298
linear_vp,20260526,9.487179487179485,0.18976405262947083
linear_vp,20260526,10.0,0.21479164063930511
uniform,20260526,-10.0,0.0001213821888086386
uniform,20260526,-9.487179487179487,0.00011557104880921543
uniform,20260526,-8.974358974358974,0.00012653075100388378
uniform,20260526,-8.461538461538462,0.00014418171485885978
uniform,20260526,-7.948717948717949,0.00017466089047957212
uniform,20260526,-7.435897435897436,0.0002349465648876503
uniform,20260526,-6.923076923076923,0.0003323801211081445
uniform,20260526,-6.410256410256411,0.0004529508587438613
uniform,20260526,-5.897435897435898,0.0007259036647155881
uniform,20260526,-5.384615384615385,0.0011186307528987527
uniform,20260526,-4.871794871794872,0.0017646071501076221
uniform,20260526,-4.3589743589743595,0.0026399577036499977
uniform,20260526,-3.8461538461538467,0.004128139931708574
uniform,20260526,-3.333333333333334,0.006220412440598011
uniform,20260526,-2.820512820512821,0.008646099828183651
uniform,20260526,-2.3076923076923084,0.012140477076172829
uniform,20260526,-1.7948717948717956,0.014413271099328995
uniform,20260526,-1.2820512820512828,0.016363749280571938
uniform,20260526,-0.76923076923077,0.0195695161819458
uniform,20260526,-0.2564102564102573,0.024328747764229774
uniform,20260526,0.2564102564102555,0.027470208704471588
uniform,20260526,0.7692307692307683,0.03260271996259689
uniform,20260526,1.282051282051281,0.03868363797664642
uniform,20260526,1.7948717948717938,0.04632732644677162
uniform,20260526,2.3076923076923066,0.05571631342172623
uniform,20260526,2.8205128205128194,0.06267526745796204
uniform,20260526,3.333333333333332,0.07415945827960968
uniform,20260526,3.846153846153845,0.08176210522651672
uniform,20260526,4.358974358974358,0.0892212986946106
uniform,20260526,4.8717948717948705,0.095149464905262
uniform,20260526,5.384615384615383,0.10140646249055862
uniform,20260526,5.897435897435896,0.10619177669286728
uniform,20260526,6.410256410256409,0.11054027080535889
uniform,20260526,6.92307692307692,0.1123431995511055
uniform,20260526,7.435897435897434,0.11311062425374985
uniform,20260526,7.948717948717949,0.12163154035806656
uniform,20260526,8.46153846153846,0.12145529687404633
uniform,20260526,8.974358974358971,0.1346166878938675
uniform,20260526,9.487179487179485,0.14488138258457184
uniform,20260526,10.0,0.15929479897022247
dmsr_normal_s0.5,20260526,-10.0,0.07275725901126862
dmsr_normal_s0.5,20260526,-9.487179487179487,0.07353730499744415
dmsr_normal_s0.5,20260526,-8.974358974358974,0.07753140479326248
dmsr_normal_s0.5,20260526,-8.461538461538462,0.0825466439127922
dmsr_normal_s0.5,20260526,-7.948717948717949,0.08853019028902054
dmsr_normal_s0.5,20260526,-7.435897435897436,0.091717429459095
dmsr_normal_s0.5,20260526,-6.923076923076923,0.09014178067445755
dmsr_normal_s0.5,20260526,-6.410256410256411,0.08260905742645264
dmsr_normal_s0.5,20260526,-5.897435897435898,0.06768330931663513
dmsr_normal_s0.5,20260526,-5.384615384615385,0.050455447286367416
dmsr_normal_s0.5,20260526,-4.871794871794872,0.033770326524972916
dmsr_normal_s0.5,20260526,-4.3589743589743595,0.019631803035736084
dmsr_normal_s0.5,20260526,-3.8461538461538467,0.012276758439838886
dmsr_normal_s0.5,20260526,-3.333333333333334,0.00974340457469225
dmsr_normal_s0.5,20260526,-2.820512820512821,0.009952839463949203
dmsr_normal_s0.5,20260526,-2.3076923076923084,0.01202815119177103
dmsr_normal_s0.5,20260526,-1.7948717948717956,0.013529435731470585
dmsr_normal_s0.5,20260526,-1.2820512820512828,0.014642581343650818
dmsr_normal_s0.5,20260526,-0.76923076923077,0.01692030020058155
dmsr_normal_s0.5,20260526,-0.2564102564102573,0.02135523408651352
dmsr_normal_s0.5,20260526,0.2564102564102555,0.024396546185016632
dmsr_normal_s0.5,20260526,0.7692307692307683,0.030082320794463158
dmsr_normal_s0.5,20260526,1.282051282051281,0.038085632026195526
dmsr_normal_s0.5,20260526,1.7948717948717938,0.05058709904551506
dmsr_normal_s0.5,20260526,2.3076923076923066,0.08485861867666245
dmsr_normal_s0.5,20260526,2.8205128205128194,0.15708839893341064
dmsr_normal_s0.5,20260526,3.333333333333332,0.28245508670806885
dmsr_normal_s0.5,20260526,3.846153846153845,0.4138698875904083
dmsr_normal_s0.5,20260526,4.358974358974358,0.5443610548973083
dmsr_normal_s0.5,20260526,4.8717948717948705,0.6592662930488586
dmsr_normal_s0.5,20260526,5.384615384615383,0.7495661377906799
dmsr_normal_s0.5,20260526,5.897435897435896,0.8246744871139526
dmsr_normal_s0.5,20260526,6.410256410256409,0.8776543736457825
dmsr_normal_s0.5,20260526,6.92307692307692,0.9213995933532715
dmsr_normal_s0.5,20260526,7.435897435897434,0.9507530927658081
dmsr_normal_s0.5,20260526,7.948717948717949,0.981241762638092
dmsr_normal_s0.5,20260526,8.46153846153846,0.9962745904922485
dmsr_normal_s0.5,20260526,8.974358974358971,1.0224188566207886
dmsr_normal_s0.5,20260526,9.487179487179485,1.0454829931259155
dmsr_normal_s0.5,20260526,10.0,1.0610336065292358
dmsr_normal_s1.5,20260526,-10.0,0.019519595429301262
dmsr_normal_s1.5,20260526,-9.487179487179487,0.01601201482117176
dmsr_normal_s1.5,20260526,-8.974358974358974,0.012409739196300507
dmsr_normal_s1.5,20260526,-8.461538461538462,0.008589638397097588
dmsr_normal_s1.5,20260526,-7.948717948717949,0.005567022133618593
dmsr_normal_s1.5,20260526,-7.435897435897436,0.003276974195614457
dmsr_normal_s1.5,20260526,-6.923076923076923,0.0018722862005233765
dmsr_normal_s1.5,20260526,-6.410256410256411,0.0011444971896708012
dmsr_normal_s1.5,20260526,-5.897435897435898,0.0010255379602313042
dmsr_normal_s1.5,20260526,-5.384615384615385,0.001211973954923451
dmsr_normal_s1.5,20260526,-4.871794871794872,0.001735207042656839
dmsr_normal_s1.5,20260526,-4.3589743589743595,0.0024940273724496365
dmsr_normal_s1.5,20260526,-3.8461538461538467,0.0037990331184118986
dmsr_normal_s1.5,20260526,-3.333333333333334,0.005643748212605715
dmsr_normal_s1.5,20260526,-2.820512820512821,0.0076850042678415775
dmsr_normal_s1.5,20260526,-2.3076923076923084,0.010411501862108707
dmsr_normal_s1.5,20260526,-1.7948717948717956,0.012845370918512344
dmsr_normal_s1.5,20260526,-1.2820512820512828,0.014732863754034042
dmsr_normal_s1.5,20260526,-0.76923076923077,0.0173723753541708
dmsr_normal_s1.5,20260526,-0.2564102564102573,0.021957382559776306
dmsr_normal_s1.5,20260526,0.2564102564102555,0.02482515387237072
dmsr_normal_s1.5,20260526,0.7692307692307683,0.029901528730988503
dmsr_normal_s1.5,20260526,1.282051282051281,0.03624693304300308
dmsr_normal_s1.5,20260526,1.7948717948717938,0.04385576397180557
dmsr_normal_s1.5,20260526,2.3076923076923066,0.05419109761714935
dmsr_normal_s1.5,20260526,2.8205128205128194,0.062045980244874954
dmsr_normal_s1.5,20260526,3.333333333333332,0.07557938992977142
dmsr_normal_s1.5,20260526,3.846153846153845,0.08592303842306137
dmsr_normal_s1.5,20260526,4.358974358974358,0.09767981618642807
dmsr_normal_s1.5,20260526,4.8717948717948705,0.11382430046796799
dmsr_normal_s1.5,20260526,5.384615384615383,0.13675528764724731
dmsr_normal_s1.5,20260526,5.897435897435896,0.1821807473897934
dmsr_normal_s1.5,20260526,6.410256410256409,0.2595902681350708
dmsr_normal_s1.5,20260526,6.92307692307692,0.351563960313797
dmsr_normal_s1.5,20260526,7.435897435897434,0.47056835889816284
dmsr_normal_s1.5,20260526,7.948717948717949,0.6008961796760559
dmsr_normal_s1.5,20260526,8.46153846153846,0.7103545665740967
dmsr_normal_s1.5,20260526,8.974358974358971,0.819327175617218
dmsr_normal_s1.5,20260526,9.487179487179485,0.892500638961792
dmsr_normal_s1.5,20260526,10.0,0.9376634955406189
dmsr_normal_s4.0,20260526,-10.0,0.00020872839377261698
dmsr_normal_s4.0,20260526,-9.487179487179487,0.00016699517436791211
dmsr_normal_s4.0,20260526,-8.974358974358974,0.000173759923200123
dmsr_normal_s4.0,20260526,-8.461538461538462,0.00019012634584214538
dmsr_normal_s4.0,20260526,-7.948717948717949,0.00023084509302861989
dmsr_normal_s4.0,20260526,-7.435897435897436,0.0002904596331063658
dmsr_normal_s4.0,20260526,-6.923076923076923,0.00038466998375952244
dmsr_normal_s4.0,20260526,-6.410256410256411,0.0004903776571154594
dmsr_normal_s4.0,20260526,-5.897435897435898,0.0007363207405433059
dmsr_normal_s4.0,20260526,-5.384615384615385,0.001097970874980092
