schedule,n_seeds,balance_error_mean,balance_error_std,balance_error_sem,balance_error_n,classifier_confidence_mean,classifier_confidence_std,classifier_confidence_sem,classifier_confidence_n,coverage_m_mean,coverage_m_std,coverage_m_sem,coverage_m_n,coverage_phi_mean,coverage_phi_std,coverage_phi_sem,coverage_phi_n,density_phi_mean,density_phi_std,density_phi_sem,density_phi_n,expected_s_mean,expected_s_std,expected_s_sem,expected_s_n,expected_s_norm_mean,expected_s_norm_std,expected_s_norm_sem,expected_s_norm_n,fid_phi_mean,fid_phi_std,fid_phi_sem,fid_phi_n,frac_class_0_mean,frac_class_0_std,frac_class_0_sem,frac_class_0_n,high_noise_mse_mean,high_noise_mse_std,high_noise_mse_sem,high_noise_mse_n,kid_phi_mean,kid_phi_std,kid_phi_sem,kid_phi_n,kid_phi_std_mean,kid_phi_std_std,kid_phi_std_sem,kid_phi_std_n,low_noise_mse_mean,low_noise_mse_std,low_noise_mse_sem,low_noise_mse_n,mean_mse_mean,mean_mse_std,mean_mse_sem,mean_mse_n,mean_skill_mean,mean_skill_std,mean_skill_sem,mean_skill_n,precision_phi_mean,precision_phi_std,precision_phi_sem,precision_phi_n,recall_phi_mean,recall_phi_std,recall_phi_sem,recall_phi_n,transition_mse_mean,transition_mse_std,transition_mse_sem,transition_mse_n,transition_skill_mean,transition_skill_std,transition_skill_sem,transition_skill_n
cosine_vp,1,0.33660000562667847,nan,nan,1,0.9718499779701233,nan,nan,1,0.49633,nan,nan,1,0.416,nan,nan,1,0.6258,nan,nan,1,0.995240109162238,nan,nan,1,0.5169862777634063,nan,nan,1,128.0480984771582,nan,nan,1,0.8366000056266785,nan,nan,1,0.001711329041669766,nan,nan,1,74.06173012054134,nan,nan,1,29.86559349138992,nan,nan,1,0.11179712370914571,nan,nan,1,0.05247957586543635,nan,nan,1,0.9475204241345636,nan,nan,1,0.847,nan,nan,1,0.9735,nan,nan,1,0.021620249492116272,nan,nan,1,0.9783797505078837,nan,nan,1
linear_vp,1,0.2911999821662903,nan,nan,1,0.9691896438598633,nan,nan,1,0.332855,nan,nan,1,0.4645,nan,nan,1,0.6384000000000001,nan,nan,1,0.7412769521310345,nan,nan,1,0.38506286949851454,nan,nan,1,98.82231375893198,nan,nan,1,0.7911999821662903,nan,nan,1,0.001571899213498303,nan,nan,1,63.11566514362373,nan,nan,1,30.44779010649567,nan,nan,1,0.11452264930395518,nan,nan,1,0.05359121011406387,nan,nan,1,0.9464087898859361,nan,nan,1,0.8665,nan,nan,1,0.9675,nan,nan,1,0.02164810977410525,nan,nan,1,0.9783518902258947,nan,nan,1
uniform,1,0.21160000562667847,nan,nan,1,0.9552849531173706,nan,nan,1,0.178045,nan,nan,1,0.333,nan,nan,1,0.5319,nan,nan,1,0.4519047582168911,nan,nan,1,0.23474592382614465,nan,nan,1,68.26202773978362,nan,nan,1,0.7116000056266785,nan,nan,1,0.0017964237073708016,nan,nan,1,78.59852846802991,nan,nan,1,24.430267707778363,nan,nan,1,0.1017931338180514,nan,nan,1,0.048575048964085,nan,nan,1,0.951424951035915,nan,nan,1,0.8065,nan,nan,1,0.9305,nan,nan,1,0.02319654100574553,nan,nan,1,0.9768034589942545,nan,nan,1
dmsr_normal_s0.5,1,0.38920000195503235,nan,nan,1,0.9478020668029785,nan,nan,1,0.998905,nan,nan,1,0.0035,nan,nan,1,0.0242,nan,nan,1,1.7414100302800697,nan,nan,1,0.9045908432812115,nan,nan,1,242.66092018302166,nan,nan,1,0.11079999804496765,nan,nan,1,0.057525663947065674,nan,nan,1,849.8889889557192,nan,nan,1,122.3916923203561,nan,nan,1,0.6837050548809416,nan,nan,1,0.3164227773435414,nan,nan,1,0.6835772226564586,nan,nan,1,0.0795,nan,nan,1,0.0025,nan,nan,1,0.021380025194957852,nan,nan,1,0.9786199748050421,nan,nan,1
dmsr_normal_s1.5,1,0.4368000030517578,nan,nan,1,0.981202244758606,nan,nan,1,0.760745,nan,nan,1,0.391,nan,nan,1,0.5479,nan,nan,1,1.3505201824256792,nan,nan,1,0.7015396543295784,nan,nan,1,223.87122908590914,nan,nan,1,0.9368000030517578,nan,nan,1,0.006132419966161251,nan,nan,1,145.5184591126105,nan,nan,1,55.32650129150603,nan,nan,1,0.34673529797617125,nan,nan,1,0.15386948687955737,nan,nan,1,0.8461305131204426,nan,nan,1,0.8305,nan,nan,1,0.9815,nan,nan,1,0.021036638761870563,nan,nan,1,0.9789633612381294,nan,nan,1
dmsr_normal_s4.0,1,0.3691999912261963,nan,nan,1,0.9707332253456116,nan,nan,1,0.346145,nan,nan,1,0.375,nan,nan,1,0.6231,nan,nan,1,0.772435714250109,nan,nan,1,0.4012485640855379,nan,nan,1,154.10530369508243,nan,nan,1,0.8691999912261963,nan,nan,1,0.0017318478213079894,nan,nan,1,87.85665861545141,nan,nan,1,34.99438480756721,nan,nan,1,0.1071360220803934,nan,nan,1,0.050639508957465294,nan,nan,1,0.9493604910425347,nan,nan,1,0.842,nan,nan,1,0.9505,nan,nan,1,0.022286283201538026,nan,nan,1,0.977713716798462,nan,nan,1
dmsr_laplace_b0.5,1,0.2616000175476074,nan,nan,1,0.9496897459030151,nan,nan,1,0.96865,nan,nan,1,0.2275,nan,nan,1,0.49160000000000004,nan,nan,1,1.6884256566949893,nan,nan,1,0.8770676417671223,nan,nan,1,98.5281982233136,nan,nan,1,0.7616000175476074,nan,nan,1,0.009456988330930472,nan,nan,1,138.31164116482202,nan,nan,1,34.36843187945066,nan,nan,1,0.45581386063028784,nan,nan,1,0.2014018737128936,nan,nan,1,0.7985981262871065,nan,nan,1,0.788,nan,nan,1,0.948,nan,nan,1,0.020673061604611576,nan,nan,1,0.9793269383953884,nan,nan,1
dmsr_laplace_b1.5,1,0.18140000104904175,nan,nan,1,0.9732499122619629,nan,nan,1,0.692455,nan,nan,1,0.5395,nan,nan,1,0.6632,nan,nan,1,1.2721034569283887,nan,nan,1,0.6608053926614422,nan,nan,1,51.451316901362624,nan,nan,1,0.6814000010490417,nan,nan,1,0.001790885328470419,nan,nan,1,40.503993401298146,nan,nan,1,31.37799508738639,nan,nan,1,0.13110501691699028,nan,nan,1,0.06060198753111763,nan,nan,1,0.9393980124688823,nan,nan,1,0.8675,nan,nan,1,0.969,nan,nan,1,0.021053866716101766,nan,nan,1,0.9789461332838982,nan,nan,1
dmsr_laplace_b4.0,1,0.28700000047683716,nan,nan,1,0.9616546630859375,nan,nan,1,0.36098,nan,nan,1,0.3865,nan,nan,1,0.5984,nan,nan,1,0.7598271768637835,nan,nan,1,0.39469894781566695,nan,nan,1,102.88848101908563,nan,nan,1,0.7870000004768372,nan,nan,1,0.0018539323578200613,nan,nan,1,67.64161404474432,nan,nan,1,21.08277793654701,nan,nan,1,0.1047706555794267,nan,nan,1,0.04964569841213233,nan,nan,1,0.9503543015878677,nan,nan,1,0.843,nan,nan,1,0.972,nan,nan,1,0.022114725783467293,nan,nan,1,0.9778852742165327,nan,nan,1
at0_normal_s0.5,1,0.42719999700784683,nan,nan,1,0.9594140648841858,nan,nan,1,0.994875,nan,nan,1,0.002,nan,nan,1,0.006200000000000001,nan,nan,1,1.7129289879532505,nan,nan,1,0.8897961139251381,nan,nan,1,277.51508133948516,nan,nan,1,0.07280000299215317,nan,nan,1,0.052358033259709676,nan,nan,1,1048.4192687958691,nan,nan,1,129.18023564141916,nan,nan,1,0.6554657727041665,nan,nan,1,0.302510280138813,nan,nan,1,0.697489719861187,nan,nan,1,0.0205,nan,nan,1,0.031,nan,nan,1,0.02151532133575529,nan,nan,1,0.9784846786642447,nan,nan,1
at0_normal_s1.5,1,0.4585999846458435,nan,nan,1,0.985438883304596,nan,nan,1,0.740905,nan,nan,1,0.343,nan,nan,1,0.46399999999999997,nan,nan,1,1.3304991013907048,nan,nan,1,0.6911395266962741,nan,nan,1,261.276260405897,nan,nan,1,0.9585999846458435,nan,nan,1,0.00833484687221547,nan,nan,1,194.48433534613716,nan,nan,1,67.97038917229222,nan,nan,1,0.32384345483253985,nan,nan,1,0.1449863795249257,nan,nan,1,0.8550136204750742,nan,nan,1,0.788,nan,nan,1,0.978,nan,nan,1,0.021136718220077455,nan,nan,1,0.9788632817799225,nan,nan,1
at0_normal_s4.0,1,0.2734000086784363,nan,nan,1,0.9638203978538513,nan,nan,1,0.3442,nan,nan,1,0.367,nan,nan,1,0.6219000000000001,nan,nan,1,0.7676115844911856,nan,nan,1,0.39874262721206033,nan,nan,1,96.61191872175203,nan,nan,1,0.7734000086784363,nan,nan,1,0.0017535510696082687,nan,nan,1,64.42261155524977,nan,nan,1,18.7212629696087,nan,nan,1,0.10663033123402034,nan,nan,1,0.05049401409596612,nan,nan,1,0.9495059859040339,nan,nan,1,0.849,nan,nan,1,0.936,nan,nan,1,0.022592708352021873,nan,nan,1,0.9774072916479781,nan,nan,1
