schedule,n_seeds,balance_error_mean,balance_error_std,balance_error_sem,balance_error_n,classifier_confidence_mean,classifier_confidence_std,classifier_confidence_sem,classifier_confidence_n,coverage_m_mean,coverage_m_std,coverage_m_sem,coverage_m_n,coverage_phi_mean,coverage_phi_std,coverage_phi_sem,coverage_phi_n,density_phi_mean,density_phi_std,density_phi_sem,density_phi_n,expected_s_mean,expected_s_std,expected_s_sem,expected_s_n,expected_s_norm_mean,expected_s_norm_std,expected_s_norm_sem,expected_s_norm_n,fid_phi_mean,fid_phi_std,fid_phi_sem,fid_phi_n,frac_class_0_mean,frac_class_0_std,frac_class_0_sem,frac_class_0_n,high_noise_mse_mean,high_noise_mse_std,high_noise_mse_sem,high_noise_mse_n,kid_phi_mean,kid_phi_std,kid_phi_sem,kid_phi_n,kid_phi_std_mean,kid_phi_std_std,kid_phi_std_sem,kid_phi_std_n,low_noise_mse_mean,low_noise_mse_std,low_noise_mse_sem,low_noise_mse_n,mean_mse_mean,mean_mse_std,mean_mse_sem,mean_mse_n,mean_skill_mean,mean_skill_std,mean_skill_sem,mean_skill_n,precision_phi_mean,precision_phi_std,precision_phi_sem,precision_phi_n,recall_phi_mean,recall_phi_std,recall_phi_sem,recall_phi_n,transition_mse_mean,transition_mse_std,transition_mse_sem,transition_mse_n,transition_skill_mean,transition_skill_std,transition_skill_sem,transition_skill_n
cosine_vp,1,0.2759999930858612,nan,nan,1,0.9636011719703674,nan,nan,1,0.495525,nan,nan,1,0.4405,nan,nan,1,0.6754,nan,nan,1,0.8159121003451113,nan,nan,1,0.5366955415043133,nan,nan,1,42.14110108352746,nan,nan,1,0.2240000069141388,nan,nan,1,0.0031852875801953763,nan,nan,1,37.77892582514599,nan,nan,1,22.17726433740369,nan,nan,1,0.11471383074919382,nan,nan,1,0.050600021063291936,nan,nan,1,0.949399978936708,nan,nan,1,0.886,nan,nan,1,0.9715,nan,nan,1,0.031142936553806067,nan,nan,1,0.9688570634461939,nan,nan,1
linear_vp,1,0.1656000018119812,nan,nan,1,0.968593955039978,nan,nan,1,0.29432,nan,nan,1,0.572,nan,nan,1,0.7054,nan,nan,1,0.5360149649332173,nan,nan,1,0.35258312965032407,nan,nan,1,19.8990241800524,nan,nan,1,0.3343999981880188,nan,nan,1,0.0031129616049036164,nan,nan,1,21.994213861268932,nan,nan,1,23.970864714873514,nan,nan,1,0.12291912337144216,nan,nan,1,0.05373626547443564,nan,nan,1,0.9462637345255643,nan,nan,1,0.8905,nan,nan,1,0.9625,nan,nan,1,0.03159292764030397,nan,nan,1,0.968407072359696,nan,nan,1
uniform,1,0.2272000014781952,nan,nan,1,0.9608559608459473,nan,nan,1,0.17966,nan,nan,1,0.3495,nan,nan,1,0.6044,nan,nan,1,0.3546224307397575,nan,nan,1,0.23326566356222367,nan,nan,1,32.38164976407569,nan,nan,1,0.2727999985218048,nan,nan,1,0.003293951879159602,nan,nan,1,33.37741844223484,nan,nan,1,24.877516656222472,nan,nan,1,0.10735235760609309,nan,nan,1,0.0482697119070508,nan,nan,1,0.9517302880929492,nan,nan,1,0.837,nan,nan,1,0.9405,nan,nan,1,0.03306324128061533,nan,nan,1,0.9669367587193847,nan,nan,1
dmsr_normal_s0.5,1,0.3490000069141388,nan,nan,1,0.9423717856407166,nan,nan,1,0.998845,nan,nan,1,0.002,nan,nan,1,0.003,nan,nan,1,1.4508982502731949,nan,nan,1,0.954380529187722,nan,nan,1,127.58698236998755,nan,nan,1,0.1509999930858612,nan,nan,1,0.07972217636073337,nan,nan,1,334.95587017366046,nan,nan,1,44.82101600334338,nan,nan,1,0.7026015435655911,nan,nan,1,0.30364454970695076,nan,nan,1,0.6963554502930492,nan,nan,1,0.0125,nan,nan,1,0.0015,nan,nan,1,0.031435229582712054,nan,nan,1,0.968564770417288,nan,nan,1
dmsr_normal_s1.5,1,0.4010000005364418,nan,nan,1,0.9716898202896118,nan,nan,1,0.76002,nan,nan,1,0.252,nan,nan,1,0.4122,nan,nan,1,1.1334402954085254,nan,nan,1,0.7455611368550434,nan,nan,1,85.38330796957584,nan,nan,1,0.0989999994635582,nan,nan,1,0.010188707451829138,nan,nan,1,56.66546696111505,nan,nan,1,18.206980318014335,nan,nan,1,0.34292219777901967,nan,nan,1,0.13894307684386148,nan,nan,1,0.8610569231561385,nan,nan,1,0.7645,nan,nan,1,0.9675,nan,nan,1,0.030085260048508644,nan,nan,1,0.9699147399514914,nan,nan,1
dmsr_normal_s4.0,1,0.19999998807907104,nan,nan,1,0.9619498252868652,nan,nan,1,0.343925,nan,nan,1,0.408,nan,nan,1,0.6735000000000001,nan,nan,1,0.6162900274552506,nan,nan,1,0.4053869404178468,nan,nan,1,27.484448345189243,nan,nan,1,0.30000001192092896,nan,nan,1,0.0031984415631193448,nan,nan,1,42.356469412755466,nan,nan,1,31.668109117097607,nan,nan,1,0.10983859275778135,nan,nan,1,0.04883964467153419,nan,nan,1,0.9511603553284658,nan,nan,1,0.8555,nan,nan,1,0.944,nan,nan,1,0.03145417361520231,nan,nan,1,0.9685458263847977,nan,nan,1
dmsr_laplace_b0.5,1,0.2502000033855438,nan,nan,1,0.9520195126533508,nan,nan,1,0.96859,nan,nan,1,0.1365,nan,nan,1,0.3531,nan,nan,1,1.4064804640104829,nan,nan,1,0.9251631320678536,nan,nan,1,46.05768226329971,nan,nan,1,0.24979999661445618,nan,nan,1,0.012884327073526733,nan,nan,1,106.81950667724607,nan,nan,1,49.400439050646405,nan,nan,1,0.4488250784575939,nan,nan,1,0.17996443199226633,nan,nan,1,0.8200355680077337,nan,nan,1,0.717,nan,nan,1,0.914,nan,nan,1,0.030895942822098732,nan,nan,1,0.9691040571779013,nan,nan,1
dmsr_laplace_b1.5,1,0.21560001373291016,nan,nan,1,0.9682043790817261,nan,nan,1,0.69254,nan,nan,1,0.444,nan,nan,1,0.6055,nan,nan,1,1.0567890569867795,nan,nan,1,0.6951410267790504,nan,nan,1,28.99992050267079,nan,nan,1,0.28439998626708984,nan,nan,1,0.0031531609214760143,nan,nan,1,28.90543305540759,nan,nan,1,22.123297469836967,nan,nan,1,0.13992565870285034,nan,nan,1,0.05996440194794559,nan,nan,1,0.9400355980520544,nan,nan,1,0.839,nan,nan,1,0.972,nan,nan,1,0.030760932713747025,nan,nan,1,0.969239067286253,nan,nan,1
dmsr_laplace_b4.0,1,0.15880000591278076,nan,nan,1,0.9690666198730469,nan,nan,1,0.35988,nan,nan,1,0.443,nan,nan,1,0.5463,nan,nan,1,0.6130884813497373,nan,nan,1,0.4032810082714517,nan,nan,1,18.773464311656863,nan,nan,1,0.34119999408721924,nan,nan,1,0.0032689198671826437,nan,nan,1,22.4073997977825,nan,nan,1,22.053974495266274,nan,nan,1,0.10903958852092425,nan,nan,1,0.0487009785061673,nan,nan,1,0.9512990214938327,nan,nan,1,0.799,nan,nan,1,0.9635,nan,nan,1,0.03210920933634043,nan,nan,1,0.9678907906636596,nan,nan,1
at0_normal_s0.5,1,0.10060000419616699,nan,nan,1,0.9058499932289124,nan,nan,1,0.99485,nan,nan,1,0.0085,nan,nan,1,0.052700000000000004,nan,nan,1,1.4267455785915086,nan,nan,1,0.9384932403468094,nan,nan,1,130.50868052706005,nan,nan,1,0.399399995803833,nan,nan,1,0.057164637097979296,nan,nan,1,322.6411913036617,nan,nan,1,80.72574150082826,nan,nan,1,0.7283206303914388,nan,nan,1,0.3039392124628648,nan,nan,1,0.6960607875371352,nan,nan,1,0.1825,nan,nan,1,0.0365,nan,nan,1,0.03262002649717033,nan,nan,1,0.9673799735028297,nan,nan,1
