schedule,seed,coverage_m,expected_s_norm,fid_phi,kid_phi,kid_phi_std,precision_phi,recall_phi,density_phi,coverage_phi,classifier_confidence,balance_error,mean_mse,transition_mse,low_noise_mse,high_noise_mse
cosine_vp,20260526,0.495525,0.5366955415043133,42.14110108352746,37.77892582514599,22.17726433740369,0.886,0.9715,0.6754,0.4405,0.9636011719703674,0.2759999930858612,0.050600021063291936,0.031142936553806067,0.11471383074919382,0.0031852875801953763
linear_vp,20260526,0.29432,0.35258312965032407,19.8990241800524,21.994213861268932,23.970864714873514,0.8905,0.9625,0.7054,0.572,0.968593955039978,0.1656000018119812,0.05373626547443564,0.03159292764030397,0.12291912337144216,0.0031129616049036164
uniform,20260526,0.17966,0.23326566356222367,32.38164976407569,33.37741844223484,24.877516656222472,0.837,0.9405,0.6044,0.3495,0.9608559608459473,0.2272000014781952,0.0482697119070508,0.03306324128061533,0.10735235760609309,0.003293951879159602
dmsr_normal_s0.5,20260526,0.998845,0.954380529187722,127.58698236998755,334.95587017366046,44.82101600334338,0.0125,0.0015,0.003,0.002,0.9423717856407166,0.3490000069141388,0.30364454970695076,0.031435229582712054,0.7026015435655911,0.07972217636073337
dmsr_normal_s1.5,20260526,0.76002,0.7455611368550434,85.38330796957584,56.66546696111505,18.206980318014335,0.7645,0.9675,0.4122,0.252,0.9716898202896118,0.4010000005364418,0.13894307684386148,0.030085260048508644,0.34292219777901967,0.010188707451829138
dmsr_normal_s4.0,20260526,0.343925,0.4053869404178468,27.484448345189243,42.356469412755466,31.668109117097607,0.8555,0.944,0.6735000000000001,0.408,0.9619498252868652,0.19999998807907104,0.04883964467153419,0.03145417361520231,0.10983859275778135,0.0031984415631193448
dmsr_laplace_b0.5,20260526,0.96859,0.9251631320678536,46.05768226329971,106.81950667724607,49.400439050646405,0.717,0.914,0.3531,0.1365,0.9520195126533508,0.2502000033855438,0.17996443199226633,0.030895942822098732,0.4488250784575939,0.012884327073526733
dmsr_laplace_b1.5,20260526,0.69254,0.6951410267790504,28.99992050267079,28.90543305540759,22.123297469836967,0.839,0.972,0.6055,0.444,0.9682043790817261,0.21560001373291016,0.05996440194794559,0.030760932713747025,0.13992565870285034,0.0031531609214760143
dmsr_laplace_b4.0,20260526,0.35988,0.4032810082714517,18.773464311656863,22.4073997977825,22.053974495266274,0.799,0.9635,0.5463,0.443,0.9690666198730469,0.15880000591278076,0.0487009785061673,0.03210920933634043,0.10903958852092425,0.0032689198671826437
at0_normal_s0.5,20260526,0.99485,0.9384932403468094,130.50868052706005,322.6411913036617,80.72574150082826,0.1825,0.0365,0.052700000000000004,0.0085,0.9058499932289124,0.10060000419616699,0.3039392124628648,0.03262002649717033,0.7283206303914388,0.057164637097979296
at0_normal_s1.5,20260526,0.740275,0.7362404210775886,91.27044330977205,55.83174711420849,21.317210038740825,0.8045,0.9815,0.4733,0.3195,0.9746829271316528,0.4073999971151352,0.1477122896059882,0.030149043072015047,0.3682174123823643,0.008472826701643713
at0_normal_s4.0,20260526,0.341445,0.40387124309079986,43.1429778052334,33.589042147796306,18.76607870467244,0.87,0.957,0.6463000000000001,0.395,0.9686054587364197,0.28360000252723694,0.04978984069020953,0.031439653132110834,0.1123143970966339,0.0032564968295285806
at0_laplace_b0.5,20260526,0.95646,0.9086568189787199,47.629576119032386,69.98850786527382,35.94011138179655,0.7395,0.9285,0.36200000000000004,0.194,0.9588468670845032,0.2970000058412552,0.18771801819093525,0.031087358482182026,0.47248864074548086,0.010158367564573008
at0_laplace_b1.5,20260526,0.67979,0.6871015269713091,15.505984915084298,23.69456275869041,24.77302437966118,0.826,0.9725,0.6120000000000001,0.562,0.971656858921051,0.14079999923706055,0.05517556161539687,0.03081495873630047,0.12723413209120432,0.0030582831386709586
at0_laplace_b4.0,20260526,0.355685,0.4008967343810833,26.862054527646663,25.086658495847136,20.998066428314736,0.813,0.977,0.5749,0.4195,0.9645676612854004,0.19780001044273376,0.048512497799674745,0.032179048052057624,0.10849462151527405,0.00327342381420107
