schedule,seed,coverage_m,expected_s_norm,fid_phi,kid_phi,kid_phi_std,precision_phi,recall_phi,density_phi,coverage_phi,classifier_confidence,balance_error,mean_mse,transition_mse,low_noise_mse,high_noise_mse
cosine_vp,20260526,0.443865,0.4802075291251776,2.906517842005976,2.171378343478116,1.8346530775743088,0.8445,0.9575,0.5994,0.7255,0.9802928566932678,0.0004000067710876465,0.06648018565247185,0.03933476470410824,0.1444137799553573,0.004308446699082304
linear_vp,20260526,0.267745,0.321565014380969,2.05543736416908,1.3792707051286794,1.3686949394469,0.8765,0.9275,0.6864,0.7765,0.9827136993408203,0.006600022315979004,0.06993103764853004,0.039664307077016146,0.15316754020750523,0.004053571357764988
uniform,20260526,0.153125,0.1995192135149637,8.689056043024951,6.119937814361879,2.453011471219215,0.86,0.95,0.6234000000000001,0.622,0.9638383984565735,0.005200028419494629,0.06443806640745606,0.04198370448180607,0.13809635024517775,0.004358536529573886
dmsr_normal_s0.5,20260526,0.9797,0.8867260063159325,27.556682180541074,10.526228561293479,1.7705521720731303,0.1325,0.2165,0.028100000000000003,0.0085,0.9197998046875,0.12540000677108765,0.3245723930653185,0.03874761185475758,0.6455720588564873,0.1401476175250376
dmsr_normal_s1.5,20260526,0.66619,0.6558781692573808,24.053675016375053,12.410851076946836,3.7673942911306098,0.6835,0.9145,0.3098,0.1465,0.9316568374633789,0.09160000085830688,0.14269639946869575,0.038293076413018365,0.31919064139947295,0.019573775380302
dmsr_normal_s4.0,20260526,0.29803,0.3497280641304755,6.772414927250507,4.829921473169808,2.5111475619787376,0.8665,0.937,0.6335000000000001,0.652,0.9695641398429871,0.024399995803833008,0.0645928562102199,0.04012829836990152,0.13908502645790577,0.004556219793705489
dmsr_laplace_b0.5,20260526,0.9276,0.8557279108627567,26.53389536849585,12.263983816713276,2.607829460736696,0.301,0.591,0.0727,0.0285,0.9152011871337891,0.006599992513656616,0.1869598346063867,0.038467686623334885,0.42177307698875666,0.027102961533648127
dmsr_laplace_b1.5,20260526,0.61938,0.6160068564672866,5.18780313994666,4.0452227092242,2.4503904154540517,0.839,0.972,0.5563,0.6245,0.9734838008880615,0.024800002574920654,0.07072303680251935,0.03888130959655557,0.15510592656210065,0.00441514587831026
dmsr_laplace_b4.0,20260526,0.31395,0.35027049671636745,7.617697276353229,5.790466335365989,2.7225163853677325,0.856,0.937,0.6162000000000001,0.633,0.9688696265220642,0.02799999713897705,0.06371807520954462,0.04046340020639556,0.13703760644420981,0.004286911989979939
at0_normal_s0.5,20260526,0.99467,0.8613839787221105,62.96542036052216,11.214795860829982,3.1279129096778315,0.262,0.401,0.06420000000000001,0.0165,0.9690064191818237,0.42659997940063477,0.31377769079990686,0.03887384890445641,0.7020191652700305,0.06156964972615242
at0_normal_s1.5,20260526,0.68661,0.6732257628092252,7.118572346507523,4.896030452920933,2.31827505192641,0.8195,0.9765,0.5214000000000001,0.5255,0.9604755640029907,0.0004000067710876465,0.1696650044672424,0.038359584020716805,0.3968626605346799,0.00989885423469412
at0_normal_s4.0,20260526,0.297835,0.353692010358,4.070735391615923,2.8525409371270074,1.9151003805928697,0.851,0.9595,0.6169,0.72,0.9734894633293152,0.008399993181228638,0.06483086894222652,0.03976014416132655,0.14015438314527273,0.00426138930796536
at0_laplace_b0.5,20260526,0.94765,0.8328170011740127,19.317249041010705,11.521447694196604,3.5613882392720484,0.781,0.955,0.4323000000000001,0.2685,0.9388198256492615,0.06479999423027039,0.20846249090973287,0.038327738376600404,0.49107562517747283,0.012529144994914532
at0_laplace_b1.5,20260526,0.63527,0.6240412139265992,4.675075420451893,3.581863262415413,2.2513995567350955,0.8475,0.9585,0.5938,0.6895,0.9737201929092407,0.02279999852180481,0.0720423769991612,0.03867899253964424,0.15875935880467296,0.004164258312598309
at0_laplace_b4.0,20260526,0.31812,0.3550275711737458,6.39731197692523,5.077809815686158,2.6446070063445615,0.849,0.939,0.6023000000000001,0.6535,0.9717509746551514,0.01780000329017639,0.06414023707839078,0.0404580259429557,0.13814493315294385,0.004240257122814108
