schedule,n_seeds,balance_error_mean,balance_error_std,balance_error_sem,balance_error_n,classifier_confidence_mean,classifier_confidence_std,classifier_confidence_sem,classifier_confidence_n,coverage_m_mean,coverage_m_std,coverage_m_sem,coverage_m_n,coverage_phi_mean,coverage_phi_std,coverage_phi_sem,coverage_phi_n,density_phi_mean,density_phi_std,density_phi_sem,density_phi_n,expected_s_mean,expected_s_std,expected_s_sem,expected_s_n,expected_s_norm_mean,expected_s_norm_std,expected_s_norm_sem,expected_s_norm_n,fid_phi_mean,fid_phi_std,fid_phi_sem,fid_phi_n,frac_class_0_mean,frac_class_0_std,frac_class_0_sem,frac_class_0_n,high_noise_mse_mean,high_noise_mse_std,high_noise_mse_sem,high_noise_mse_n,kid_phi_mean,kid_phi_std,kid_phi_sem,kid_phi_n,kid_phi_std_mean,kid_phi_std_std,kid_phi_std_sem,kid_phi_std_n,low_noise_mse_mean,low_noise_mse_std,low_noise_mse_sem,low_noise_mse_n,mean_mse_mean,mean_mse_std,mean_mse_sem,mean_mse_n,mean_skill_mean,mean_skill_std,mean_skill_sem,mean_skill_n,precision_phi_mean,precision_phi_std,precision_phi_sem,precision_phi_n,recall_phi_mean,recall_phi_std,recall_phi_sem,recall_phi_n,transition_mse_mean,transition_mse_std,transition_mse_sem,transition_mse_n,transition_skill_mean,transition_skill_std,transition_skill_sem,transition_skill_n
cosine_vp,1,0.053600013256073,nan,nan,1,0.9574373960494995,nan,nan,1,0.38298,nan,nan,1,0.705,nan,nan,1,0.6559,nan,nan,1,0.6281128852488068,nan,nan,1,0.43680815076565643,nan,nan,1,5.5241290820200675,nan,nan,1,0.553600013256073,nan,nan,1,0.0036727135858895697,nan,nan,1,1.7586505048270178,nan,nan,1,0.897235566646686,nan,nan,1,0.12263020347146426,nan,nan,1,0.05825751794363896,nan,nan,1,0.941742482056361,nan,nan,1,0.886,nan,nan,1,0.973,nan,nan,1,0.030525187961757183,nan,nan,1,0.9694748120382428,nan,nan,1
linear_vp,1,0.10519999265670776,nan,nan,1,0.9537124037742615,nan,nan,1,0.234615,nan,nan,1,0.709,nan,nan,1,0.6962,nan,nan,1,0.4265770889458318,nan,nan,1,0.29665423804769764,nan,nan,1,7.8362793322050255,nan,nan,1,0.6051999926567078,nan,nan,1,0.0035858343497452818,nan,nan,1,2.0101818776679763,nan,nan,1,0.7845207230768132,nan,nan,1,0.12576035519733147,nan,nan,1,0.05965370250305568,nan,nan,1,0.9403462974969443,nan,nan,1,0.899,nan,nan,1,0.9695,nan,nan,1,0.03121047963698705,nan,nan,1,0.9687895203630129,nan,nan,1
uniform,1,0.08560001850128174,nan,nan,1,0.9486521482467651,nan,nan,1,0.12865,nan,nan,1,0.5985,nan,nan,1,0.6218,nan,nan,1,0.2639957342164116,nan,nan,1,0.18359038825865504,nan,nan,1,10.129952569868717,nan,nan,1,0.5856000185012817,nan,nan,1,0.00382523969593047,nan,nan,1,2.941711332043734,nan,nan,1,0.9329612225126934,nan,nan,1,0.11492064770530253,nan,nan,1,0.05545297552416741,nan,nan,1,0.9445470244758326,nan,nan,1,0.8725,nan,nan,1,0.973,nan,nan,1,0.03323982252428929,nan,nan,1,0.9667601774757107,nan,nan,1
hang_laplace_b0.5,1,0.1597999930381775,nan,nan,1,0.9519014358520508,nan,nan,1,0.92329,nan,nan,1,0.4205,nan,nan,1,0.43410000000000004,nan,nan,1,1.128877542761369,nan,nan,1,0.785054603201055,nan,nan,1,10.753274828922168,nan,nan,1,0.6597999930381775,nan,nan,1,0.01099239576005322,nan,nan,1,1.7729695204455436,nan,nan,1,0.856959201250248,nan,nan,1,0.4310743576463531,nan,nan,1,0.1923497965617571,nan,nan,1,0.8076502034382429,nan,nan,1,0.788,nan,nan,1,0.973,nan,nan,1,0.029809509093562763,nan,nan,1,0.9701904909064373,nan,nan,1
dmsr_normal_s0.3,1,0.3294000029563904,nan,nan,1,0.9478617310523987,nan,nan,1,0.9567,nan,nan,1,0.0775,nan,nan,1,0.1864,nan,nan,1,1.3218069435253759,nan,nan,1,0.9192233756545447,nan,nan,1,36.643624472545945,nan,nan,1,0.8294000029563904,nan,nan,1,0.1749849705135121,nan,nan,1,5.346219116542314,nan,nan,1,1.8534648075363689,nan,nan,1,0.6670880076639792,nan,nan,1,0.3626467258203775,nan,nan,1,0.6373532741796225,nan,nan,1,0.5265,nan,nan,1,0.3335,nan,nan,1,0.031771400632957615,nan,nan,1,0.9682285993670424,nan,nan,1
dmsr_normal_s0.8,1,0.11820000410079956,nan,nan,1,0.9372497797012329,nan,nan,1,0.73428,nan,nan,1,0.0305,nan,nan,1,0.0524,nan,nan,1,1.0948510290173934,nan,nan,1,0.7613915660391591,nan,nan,1,13.008141232365157,nan,nan,1,0.6182000041007996,nan,nan,1,0.06713510145816733,nan,nan,1,2.1286164179715246,nan,nan,1,0.66966260084657,nan,nan,1,0.5119064388906255,nan,nan,1,0.2505589304259047,nan,nan,1,0.7494410695740953,nan,nan,1,0.206,nan,nan,1,0.414,nan,nan,1,0.029775171851118405,nan,nan,1,0.9702248281488816,nan,nan,1
dmsr_normal_s1.5,1,0.2149999737739563,nan,nan,1,0.9494850635528564,nan,nan,1,0.547225,nan,nan,1,0.144,nan,nan,1,0.2335,nan,nan,1,0.8575085713301726,nan,nan,1,0.5963366491997056,nan,nan,1,18.719041247617383,nan,nan,1,0.7149999737739563,nan,nan,1,0.01842343537410831,nan,nan,1,3.1447239826163855,nan,nan,1,1.4688760662418814,nan,nan,1,0.291288387906902,nan,nan,1,0.1361276402778458,nan,nan,1,0.8638723597221543,nan,nan,1,0.5855,nan,nan,1,0.8765,nan,nan,1,0.030000769222776096,nan,nan,1,0.9699992307772239,nan,nan,1
dmsr_normal_s2.5,1,0.10500001907348633,nan,nan,1,0.9524120092391968,nan,nan,1,0.37462,nan,nan,1,0.6475,nan,nan,1,0.6147,nan,nan,1,0.634300199954117,nan,nan,1,0.4411109911596425,nan,nan,1,8.800460240690816,nan,nan,1,0.6050000190734863,nan,nan,1,0.004218768751289805,nan,nan,1,2.299718760677299,nan,nan,1,0.8796091469396493,nan,nan,1,0.1438699312069837,nan,nan,1,0.0675122449574701,nan,nan,1,0.9324877550425299,nan,nan,1,0.88,nan,nan,1,0.975,nan,nan,1,0.03049698316802581,nan,nan,1,0.9695030168319742,nan,nan,1
dmsr_normal_s4.0,1,0.10519999265670776,nan,nan,1,0.9462862014770508,nan,nan,1,0.245405,nan,nan,1,0.5315,nan,nan,1,0.5756,nan,nan,1,0.44725191001017256,nan,nan,1,0.3110321159238189,nan,nan,1,11.713216356228354,nan,nan,1,0.6051999926567078,nan,nan,1,0.003994530974202515,nan,nan,1,3.260421628632208,nan,nan,1,1.0204427150514739,nan,nan,1,0.11605841951335177,nan,nan,1,0.05578153847163776,nan,nan,1,0.9442184615283622,nan,nan,1,0.8605,nan,nan,1,0.9385,nan,nan,1,0.0317268967628479,nan,nan,1,0.9682731032371521,nan,nan,1
dmsr_normal_s6.0,1,0.12779998779296875,nan,nan,1,0.9462902545928955,nan,nan,1,0.16702,nan,nan,1,0.573,nan,nan,1,0.5981,nan,nan,1,0.3303297027203215,nan,nan,1,0.22972097846882497,nan,nan,1,10.960148535028996,nan,nan,1,0.6277999877929688,nan,nan,1,0.003833136964685229,nan,nan,1,2.7335710405985516,nan,nan,1,0.8924933326289103,nan,nan,1,0.11288415815900354,nan,nan,1,0.05455167701220489,nan,nan,1,0.9454483229877951,nan,nan,1,0.8735,nan,nan,1,0.9645,nan,nan,1,0.0329788438975811,nan,nan,1,0.9670211561024189,nan,nan,1
