schedule,seed,lambda,mse
cosine_vp,20260526,-10.0,0.00016176715143956244
cosine_vp,20260526,-9.487179487179487,0.00019683073332998902
cosine_vp,20260526,-8.974358974358974,0.00021410337649285793
cosine_vp,20260526,-8.461538461538462,0.0002262794878333807
cosine_vp,20260526,-7.948717948717949,0.00024747897987253964
cosine_vp,20260526,-7.435897435897436,0.0002906792506109923
cosine_vp,20260526,-6.923076923076923,0.0003698180371429771
cosine_vp,20260526,-6.410256410256411,0.0005187725182622671
cosine_vp,20260526,-5.897435897435898,0.0007654086221009493
cosine_vp,20260526,-5.384615384615385,0.0011805964168161154
cosine_vp,20260526,-4.871794871794872,0.00188414566218853
cosine_vp,20260526,-4.3589743589743595,0.002906327834352851
cosine_vp,20260526,-3.8461538461538467,0.004606006667017937
cosine_vp,20260526,-3.333333333333334,0.007117233704775572
cosine_vp,20260526,-2.820512820512821,0.010163160972297192
cosine_vp,20260526,-2.3076923076923084,0.013690591789782047
cosine_vp,20260526,-1.7948717948717956,0.017896929755806923
cosine_vp,20260526,-1.2820512820512828,0.021908298134803772
cosine_vp,20260526,-0.76923076923077,0.023640001192688942
cosine_vp,20260526,-0.2564102564102573,0.027806665748357773
cosine_vp,20260526,0.2564102564102555,0.03175133839249611
cosine_vp,20260526,0.7692307692307683,0.03584758937358856
cosine_vp,20260526,1.282051282051281,0.04219723492860794
cosine_vp,20260526,1.7948717948717938,0.049301281571388245
cosine_vp,20260526,2.3076923076923066,0.05667399615049362
cosine_vp,20260526,2.8205128205128194,0.06783623993396759
cosine_vp,20260526,3.333333333333332,0.07904475182294846
cosine_vp,20260526,3.846153846153845,0.08855389058589935
cosine_vp,20260526,4.358974358974358,0.09842453896999359
cosine_vp,20260526,4.8717948717948705,0.10920032113790512
cosine_vp,20260526,5.384615384615383,0.1168094351887703
cosine_vp,20260526,5.897435897435896,0.12284183502197266
cosine_vp,20260526,6.410256410256409,0.1300641894340515
cosine_vp,20260526,6.92307692307692,0.13228876888751984
cosine_vp,20260526,7.435897435897434,0.13945980370044708
cosine_vp,20260526,7.948717948717949,0.1488860696554184
cosine_vp,20260526,8.46153846153846,0.16221816837787628
cosine_vp,20260526,8.974358974358971,0.17388923466205597
cosine_vp,20260526,9.487179487179485,0.19437581300735474
cosine_vp,20260526,10.0,0.21484512090682983
linear_vp,20260526,-10.0,8.407238783547655e-05
linear_vp,20260526,-9.487179487179487,0.00010057445615530014
linear_vp,20260526,-8.974358974358974,0.00011469949822640046
linear_vp,20260526,-8.461538461538462,0.00012712369789369404
linear_vp,20260526,-7.948717948717949,0.00015635392628610134
linear_vp,20260526,-7.435897435897436,0.0002054780925391242
linear_vp,20260526,-6.923076923076923,0.0002908559690695256
linear_vp,20260526,-6.410256410256411,0.000435325491707772
linear_vp,20260526,-5.897435897435898,0.0006728517473675311
linear_vp,20260526,-5.384615384615385,0.0010922783985733986
linear_vp,20260526,-4.871794871794872,0.001770542236045003
linear_vp,20260526,-4.3589743589743595,0.0027887478936463594
linear_vp,20260526,-3.8461538461538467,0.004466571845114231
linear_vp,20260526,-3.333333333333334,0.0070282998494803905
linear_vp,20260526,-2.820512820512821,0.009981305338442326
linear_vp,20260526,-2.3076923076923084,0.013574936427175999
linear_vp,20260526,-1.7948717948717956,0.01806916669011116
linear_vp,20260526,-1.2820512820512828,0.02208542823791504
linear_vp,20260526,-0.76923076923077,0.02382959984242916
linear_vp,20260526,-0.2564102564102573,0.028310133144259453
linear_vp,20260526,0.2564102564102555,0.03260737285017967
linear_vp,20260526,0.7692307692307683,0.03688293322920799
linear_vp,20260526,1.282051282051281,0.043547410517930984
linear_vp,20260526,1.7948717948717938,0.05081010237336159
linear_vp,20260526,2.3076923076923066,0.05841289460659027
linear_vp,20260526,2.8205128205128194,0.06969472020864487
linear_vp,20260526,3.333333333333332,0.08065808564424515
linear_vp,20260526,3.846153846153845,0.08985859900712967
linear_vp,20260526,4.358974358974358,0.09930438548326492
linear_vp,20260526,4.8717948717948705,0.10992330312728882
linear_vp,20260526,5.384615384615383,0.11831057816743851
linear_vp,20260526,5.897435897435896,0.12485702335834503
linear_vp,20260526,6.410256410256409,0.13283582031726837
linear_vp,20260526,6.92307692307692,0.13562612235546112
linear_vp,20260526,7.435897435897434,0.14393267035484314
linear_vp,20260526,7.948717948717949,0.15463365614414215
linear_vp,20260526,8.46153846153846,0.16849981248378754
linear_vp,20260526,8.974358974358971,0.180118590593338
linear_vp,20260526,9.487179487179485,0.19896072149276733
linear_vp,20260526,10.0,0.22148895263671875
uniform,20260526,-10.0,0.00010631886107148603
uniform,20260526,-9.487179487179487,0.00011149899364681914
uniform,20260526,-8.974358974358974,0.0001285468169953674
uniform,20260526,-8.461538461538462,0.00014408293645828962
uniform,20260526,-7.948717948717949,0.00018357500084675848
uniform,20260526,-7.435897435897436,0.00023527146549895406
uniform,20260526,-6.923076923076923,0.0003263786784373224
uniform,20260526,-6.410256410256411,0.0004790251550730318
uniform,20260526,-5.897435897435898,0.0007377050933428109
uniform,20260526,-5.384615384615385,0.0011698600137606263
uniform,20260526,-4.871794871794872,0.0018898783018812537
uniform,20260526,-4.3589743589743595,0.002966909436509013
uniform,20260526,-3.8461538461538467,0.00469865882769227
uniform,20260526,-3.333333333333334,0.007372000720351934
uniform,20260526,-2.820512820512821,0.010655263438820839
uniform,20260526,-2.3076923076923084,0.014486320316791534
uniform,20260526,-1.7948717948717956,0.01933778077363968
uniform,20260526,-1.2820512820512828,0.024183260276913643
uniform,20260526,-0.76923076923077,0.02621048502624035
uniform,20260526,-0.2564102564102573,0.030497195199131966
uniform,20260526,0.2564102564102555,0.03506689891219139
uniform,20260526,0.7692307692307683,0.038378022611141205
uniform,20260526,1.282051282051281,0.04510307312011719
uniform,20260526,1.7948717948717938,0.05232423543930054
uniform,20260526,2.3076923076923066,0.05980363488197327
uniform,20260526,2.8205128205128194,0.07020360231399536
uniform,20260526,3.333333333333332,0.0813632607460022
uniform,20260526,3.846153846153845,0.09022364765405655
uniform,20260526,4.358974358974358,0.10015716403722763
uniform,20260526,4.8717948717948705,0.11080533266067505
uniform,20260526,5.384615384615383,0.11805464327335358
uniform,20260526,5.897435897435896,0.12416981160640717
uniform,20260526,6.410256410256409,0.12989574670791626
uniform,20260526,6.92307692307692,0.12984700500965118
uniform,20260526,7.435897435897434,0.13372303545475006
uniform,20260526,7.948717948717949,0.13737337291240692
uniform,20260526,8.46153846153846,0.14396725594997406
uniform,20260526,8.974358974358971,0.14736218750476837
uniform,20260526,9.487179487179485,0.1557931900024414
uniform,20260526,10.0,0.16858388483524323
hang_laplace_b0.5,20260526,-10.0,0.019176770001649857
hang_laplace_b0.5,20260526,-9.487179487179487,0.019407952204346657
hang_laplace_b0.5,20260526,-8.974358974358974,0.018984634429216385
hang_laplace_b0.5,20260526,-8.461538461538462,0.017581569030880928
hang_laplace_b0.5,20260526,-7.948717948717949,0.015274989418685436
hang_laplace_b0.5,20260526,-7.435897435897436,0.012041683308780193
hang_laplace_b0.5,20260526,-6.923076923076923,0.008575220592319965
hang_laplace_b0.5,20260526,-6.410256410256411,0.0056896936148405075
hang_laplace_b0.5,20260526,-5.897435897435898,0.0038915714249014854
hang_laplace_b0.5,20260526,-5.384615384615385,0.0031283539719879627
hang_laplace_b0.5,20260526,-4.871794871794872,0.0031825117766857147
hang_laplace_b0.5,20260526,-4.3589743589743595,0.0038430874701589346
hang_laplace_b0.5,20260526,-3.8461538461538467,0.005151106510311365
hang_laplace_b0.5,20260526,-3.333333333333334,0.007632663939148188
hang_laplace_b0.5,20260526,-2.820512820512821,0.010582996532320976
hang_laplace_b0.5,20260526,-2.3076923076923084,0.014882436953485012
hang_laplace_b0.5,20260526,-1.7948717948717956,0.01784348674118519
hang_laplace_b0.5,20260526,-1.2820512820512828,0.020906371995806694
hang_laplace_b0.5,20260526,-0.76923076923077,0.02463601343333721
hang_laplace_b0.5,20260526,-0.2564102564102573,0.026867186650633812
hang_laplace_b0.5,20260526,0.2564102564102555,0.030195152387022972
hang_laplace_b0.5,20260526,0.7692307692307683,0.035034067928791046
hang_laplace_b0.5,20260526,1.282051282051281,0.041218262165784836
hang_laplace_b0.5,20260526,1.7948717948717938,0.04889385774731636
hang_laplace_b0.5,20260526,2.3076923076923066,0.06194154545664787
hang_laplace_b0.5,20260526,2.8205128205128194,0.07464514672756195
hang_laplace_b0.5,20260526,3.333333333333332,0.09037753939628601
