schedule,num_seeds,coverage_m_mean,coverage_m_std,expected_s_norm_mean,expected_s_norm_std,mean_mse_mean,mean_mse_std,mean_bayes_mse_mean,mean_bayes_mse_std,mean_excess_mse_mean,mean_excess_mse_std,transition_mse_mean,transition_mse_std,transition_bayes_mse_mean,transition_bayes_mse_std,transition_excess_mse_mean,transition_excess_mse_std,low_noise_mse_mean,low_noise_mse_std,high_noise_mse_mean,high_noise_mse_std,mean_mode_error_mean,mean_mode_error_std,transition_mode_error_mean,transition_mode_error_std
cosine_vp,3,0.58843,0.0012716819570945915,0.5745564393440992,0.0008734233469492963,0.5033173738682915,0.0023381011744229223,0.5000680382926173,0.0019190537484351632,0.0032699621006637846,0.0007605313324695023,0.5473316830617411,0.002870728094384577,0.5441486774771301,0.0036340444039976378,0.0032891460138705073,0.0013822994983445243,0.970342116794367,0.004942498823755596,0.06889388567622223,0.0022518751952869853,0.1937449137369792,0.002761640734652005,0.04981825086805556,0.000881931868869839
dmsr_laplace_b0.5,3,0.986815,0.0003170567772497509,0.9348693816409955,0.00015396524194237365,0.6735927727733118,0.15986621310296903,0.5000680382926173,0.0019190537484351632,0.17363186984875936,0.16069178200508483,0.5480917614919169,0.005351804258743323,0.5441486774771301,0.0036340444039976378,0.004078859495671674,0.0011575657712432443,1.0105862864132586,0.014186907564200407,0.445902054818968,0.3913803274383052,0.20133666992187502,0.001967917690243183,0.050048828125,0.0010798860296963434
dmsr_normal_mid_s0.8,3,0.9923283333333334,0.0002213782584928654,0.9114827898219904,0.0003210017551838372,0.8508080858116349,0.29622428453449534,0.5000680382926173,0.0019190537484351632,0.3508785198469317,0.2955746218363335,0.5477262928530022,0.004230917081586362,0.5441486774771301,0.0036340444039976378,0.003689805719423694,0.0014490596621729865,1.006626640243092,0.00213908204601434,0.8791939705008209,0.7146658092406394,0.2002166748046875,0.0033708416058781136,0.05004430700231482,0.0009782877936535047
dmsr_normal_narrow_s0.3,3,1.0,0.0,0.9854541997512295,5.9146020054868105e-05,0.675633324442121,0.07466159175702317,0.5000680382926173,0.0019190537484351632,0.1751941375247649,0.07484179793134921,0.5982307896569923,0.013548674897765617,0.5441486774771301,0.0036340444039976378,0.05452644473040925,0.013414097201128196,1.1725617839002063,0.026155679752414607,0.2811581820738737,0.1592965577492061,0.195947265625,0.005716453158749313,0.049854419849537035,0.0006689275651163235
dmsr_normal_wide_s1.5,3,0.8563666666666667,0.0006454133042735745,0.7741435729954697,0.0006377958457466176,0.5320560671777154,0.022381909644072998,0.5000680382926173,0.0019190537484351632,0.031959509101943694,0.020478206204879185,0.5473511759881621,0.003884445568439461,0.5441486774771301,0.0036340444039976378,0.003214035629450033,0.00010768633912463369,0.984904378995128,0.004461452546072565,0.12575567319913947,0.057202621244971774,0.2025054931640625,0.0024006047196041764,0.04992223668981482,0.0008319480001035928
hang_laplace_lambda_b0.5,3,0.9834866666666667,0.00018468441551289052,0.8863822878118158,0.00012454856646384598,0.5909451049597313,0.07313033456798597,0.5000680382926173,0.0019190537484351632,0.09110923684759958,0.07444946694157,0.5499012431612721,0.004892634048426107,0.5441486774771301,0.0036340444039976378,0.0058427887712174135,0.002038776223004283,1.0230530171558774,0.005054544698691486,0.2336014703743988,0.1833372564925891,0.2015187581380208,0.0033057149059568442,0.050098560474537035,0.0008953192849020963
uniform_lambda,3,0.22329,0.0006884947349108774,0.25952966240878844,0.00035303682625901394,0.5018104123996939,0.00176797405319895,0.5000680382926173,0.0019190537484351632,0.0018806474509195446,0.0006877934485094333,0.5475272023015553,0.0044248535433917885,0.5441486774771301,0.0036340444039976378,0.0036331931478343904,0.0007013032139825922,0.969973823804965,0.004856028995937068,0.0654576503091981,0.0011517632173542764,0.19503072102864583,0.0032732664540046125,0.04991319444444445,0.000967573070041873
