schedule,seed,fid_inception,fid_phi,kid_phi,kid_phi_std,precision_phi,recall_phi,density_phi,coverage_phi,classifier_confidence,balance_error,coverage_m,expected_s,mean_mse,transition_mse,transition_low,lambda_r_star,transition_high
cosine_vp,20260526,67.76426696777344,6.534955708408505,0.5976243818726201,0.6333383904137957,0.9795,0.888,1.1075,0.898,0.8842283487319946,0.09060001373291016,0.231525,0.13337454018256067,0.2481489460238663,0.19169267117977143,1.5306122448979593,3.979591836734695,5.204081632653061
linear_vp,20260526,62.08024215698242,5.135823354553759,0.6517993587840689,1.1704998489924716,0.981,0.8695,1.1353,0.9185,0.8935980200767517,0.07050001621246338,0.116075,0.07431346668083412,0.2476922376341463,0.16374955624341964,1.5306122448979593,3.979591836734695,5.204081632653061
uniform,20260526,54.13174057006836,2.60719740982409,0.3296892276262995,0.5875985402581883,0.9645,0.942,1.0309,0.9505,0.880540132522583,0.014999985694885254,0.124185,0.0754858601462779,0.2359620216402618,0.13674474209547044,1.5306122448979593,3.979591836734695,5.204081632653061
dmsr_normal_s0.5,20260526,446.9878845214844,1194.588677073077,4015.7387479832514,194.93130031156016,0.001,0.0,0.0002,0.0005,0.9999979734420776,0.5,0.992765,0.4950500050230044,0.8499257957562805,0.2394108757376671,1.5306122448979593,3.979591836734695,5.204081632653061
dmsr_normal_s1.5,20260526,460.14056396484375,662.435756818978,997.3181671346647,60.84132533917133,0.1445,0.021,0.0297,0.004,0.9999557733535767,0.5,0.742025,0.3746304559638606,0.40544773046858607,0.19862836450338364,1.5306122448979593,3.979591836734695,5.204081632653061
dmsr_normal_s4.0,20260526,48.91907501220703,9.192369175190134,1.143287988204185,0.677858423092475,0.9715,0.939,1.0283,0.896,0.8567746877670288,0.06950002908706665,0.35081,0.1924574904645495,0.24808302697056206,0.151781864464283,1.5306122448979593,3.979591836734695,5.204081632653061
dmsr_laplace_b0.5,20260526,459.8652648925781,816.2116621933994,1595.7904965800583,107.74897052925115,0.135,0.0,0.0295,0.0035,0.9999885559082031,0.5,0.953245,0.4784754915663493,0.5214064710773527,0.2263736829161644,1.5306122448979593,3.979591836734695,5.204081632653061
dmsr_laplace_b1.5,20260526,77.27373504638672,25.128698537279334,3.2241442842502783,0.8923196567824468,0.9325,0.903,0.8635999999999999,0.7485,0.835845410823822,0.14509999752044678,0.682185,0.34823996145912034,0.2616061467124382,0.190545454621315,1.5306122448979593,3.979591836734695,5.204081632653061
dmsr_laplace_b4.0,20260526,53.585662841796875,10.310922899705785,1.1259324810374864,0.6745976595719432,0.97,0.9395,1.03,0.8875,0.850136399269104,0.07719999551773071,0.3607,0.19422293202621557,0.24472602727473713,0.15713075995445253,1.5306122448979593,3.979591836734695,5.204081632653061
at0_normal_s0.5,20260526,273.45538330078125,202.30901849573644,74.05523097614326,9.352502504777316,0.927,0.083,0.7233,0.1225,0.986194908618927,0.49239999055862427,0.00117,0.03447632972850415,0.4415639571263455,0.4802553057670593,1.5306122448979593,3.979591836734695,5.204081632653061
at0_normal_s1.5,20260526,113.51958465576172,16.666611018729462,1.6521748033851082,0.5980998473342782,0.9695,0.707,1.091,0.7095,0.8662413358688354,0.15829998254776,0.1532,0.10347145081908127,0.3538792852079496,0.25206718146800994,1.5306122448979593,3.979591836734695,5.204081632653061
at0_normal_s4.0,20260526,52.92687225341797,2.311345677011407,0.13702381615686865,0.40989949580051604,0.9815,0.925,1.1147,0.9395,0.8881043195724487,0.042900025844573975,0.25356,0.1421156379356244,0.24754041273881738,0.17364488244056703,1.5306122448979593,3.979591836734695,5.204081632653061
at0_laplace_b0.5,20260526,155.98561096191406,22.229556353761573,2.1644142838834513,0.5617644044297575,0.984,0.6,1.1512,0.64,0.8531622886657715,0.1906999945640564,0.02351,0.044996012296377466,0.4007663450931432,0.3135019838809967,1.5306122448979593,3.979591836734695,5.204081632653061
at0_laplace_b1.5,20260526,86.57442474365234,14.250512882209906,1.3772083265824753,0.5734642957799316,0.98,0.7435,1.1073000000000002,0.781,0.8752545118331909,0.14889997243881226,0.16554,0.1072155136448501,0.25918601990379103,0.2208004802465439,1.5306122448979593,3.979591836734695,5.204081632653061
at0_laplace_b4.0,20260526,53.40966796875,3.1790335550815962,0.24988615184745355,0.41911029223173935,0.975,0.912,1.0875000000000001,0.9275,0.8865917921066284,0.048799991607666016,0.20521,0.11958362217257265,0.23970097059445833,0.16638461500406265,1.5306122448979593,3.979591836734695,5.204081632653061
