schedule,n_seeds,balance_error_mean,balance_error_std,balance_error_sem,balance_error_n,classifier_confidence_mean,classifier_confidence_std,classifier_confidence_sem,classifier_confidence_n,coverage_m_mean,coverage_m_std,coverage_m_sem,coverage_m_n,coverage_phi_mean,coverage_phi_std,coverage_phi_sem,coverage_phi_n,density_phi_mean,density_phi_std,density_phi_sem,density_phi_n,expected_s_mean,expected_s_std,expected_s_sem,expected_s_n,fid_inception_mean,fid_inception_std,fid_inception_sem,fid_inception_n,fid_phi_mean,fid_phi_std,fid_phi_sem,fid_phi_n,kid_phi_mean,kid_phi_std,kid_phi_sem,kid_phi_n,kid_phi_std_mean,kid_phi_std_std,kid_phi_std_sem,kid_phi_std_n,lambda_r_star_mean,lambda_r_star_std,lambda_r_star_sem,lambda_r_star_n,mean_mse_mean,mean_mse_std,mean_mse_sem,mean_mse_n,mean_skill_mean,mean_skill_std,mean_skill_sem,mean_skill_n,precision_phi_mean,precision_phi_std,precision_phi_sem,precision_phi_n,recall_phi_mean,recall_phi_std,recall_phi_sem,recall_phi_n,transition_high_mean,transition_high_std,transition_high_sem,transition_high_n,transition_low_mean,transition_low_std,transition_low_sem,transition_low_n,transition_mse_mean,transition_mse_std,transition_mse_sem,transition_mse_n,transition_skill_mean,transition_skill_std,transition_skill_sem,transition_skill_n
cosine_vp,1,0.09060001373291016,nan,nan,1,0.8842283487319946,nan,nan,1,0.231525,nan,nan,1,0.898,nan,nan,1,1.1075,nan,nan,1,0.13337454018256067,nan,nan,1,67.76426696777344,nan,nan,1,6.534955708408505,nan,nan,1,0.5976243818726201,nan,nan,1,0.6333383904137957,nan,nan,1,3.979591836734695,nan,nan,1,0.2481489460238663,nan,nan,1,0.7518510539761337,nan,nan,1,0.9795,nan,nan,1,0.888,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.19169267117977143,nan,nan,1,0.8083073288202286,nan,nan,1
linear_vp,1,0.07050001621246338,nan,nan,1,0.8935980200767517,nan,nan,1,0.116075,nan,nan,1,0.9185,nan,nan,1,1.1353,nan,nan,1,0.07431346668083412,nan,nan,1,62.08024215698242,nan,nan,1,5.135823354553759,nan,nan,1,0.6517993587840689,nan,nan,1,1.1704998489924716,nan,nan,1,3.979591836734695,nan,nan,1,0.2476922376341463,nan,nan,1,0.7523077623658537,nan,nan,1,0.981,nan,nan,1,0.8695,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.16374955624341964,nan,nan,1,0.8362504437565803,nan,nan,1
uniform,1,0.014999985694885254,nan,nan,1,0.880540132522583,nan,nan,1,0.124185,nan,nan,1,0.9505,nan,nan,1,1.0309,nan,nan,1,0.0754858601462779,nan,nan,1,54.13174057006836,nan,nan,1,2.60719740982409,nan,nan,1,0.3296892276262995,nan,nan,1,0.5875985402581883,nan,nan,1,3.979591836734695,nan,nan,1,0.2359620216402618,nan,nan,1,0.7640379783597382,nan,nan,1,0.9645,nan,nan,1,0.942,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.13674474209547044,nan,nan,1,0.8632552579045296,nan,nan,1
dmsr_normal_s0.5,1,0.5,nan,nan,1,0.9999979734420776,nan,nan,1,0.992765,nan,nan,1,0.0005,nan,nan,1,0.0002,nan,nan,1,0.4950500050230044,nan,nan,1,446.9878845214844,nan,nan,1,1194.588677073077,nan,nan,1,4015.7387479832514,nan,nan,1,194.93130031156016,nan,nan,1,3.979591836734695,nan,nan,1,0.8499257957562805,nan,nan,1,0.15007420424371953,nan,nan,1,0.001,nan,nan,1,0.0,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.2394108757376671,nan,nan,1,0.7605891242623329,nan,nan,1
dmsr_normal_s1.5,1,0.5,nan,nan,1,0.9999557733535767,nan,nan,1,0.742025,nan,nan,1,0.004,nan,nan,1,0.0297,nan,nan,1,0.3746304559638606,nan,nan,1,460.14056396484375,nan,nan,1,662.435756818978,nan,nan,1,997.3181671346647,nan,nan,1,60.84132533917133,nan,nan,1,3.979591836734695,nan,nan,1,0.40544773046858607,nan,nan,1,0.5945522695314139,nan,nan,1,0.1445,nan,nan,1,0.021,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.19862836450338364,nan,nan,1,0.8013716354966164,nan,nan,1
dmsr_normal_s4.0,1,0.06950002908706665,nan,nan,1,0.8567746877670288,nan,nan,1,0.35081,nan,nan,1,0.896,nan,nan,1,1.0283,nan,nan,1,0.1924574904645495,nan,nan,1,48.91907501220703,nan,nan,1,9.192369175190134,nan,nan,1,1.143287988204185,nan,nan,1,0.677858423092475,nan,nan,1,3.979591836734695,nan,nan,1,0.24808302697056206,nan,nan,1,0.7519169730294379,nan,nan,1,0.9715,nan,nan,1,0.939,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.151781864464283,nan,nan,1,0.848218135535717,nan,nan,1
dmsr_laplace_b0.5,1,0.5,nan,nan,1,0.9999885559082031,nan,nan,1,0.953245,nan,nan,1,0.0035,nan,nan,1,0.0295,nan,nan,1,0.4784754915663493,nan,nan,1,459.8652648925781,nan,nan,1,816.2116621933994,nan,nan,1,1595.7904965800583,nan,nan,1,107.74897052925115,nan,nan,1,3.979591836734695,nan,nan,1,0.5214064710773527,nan,nan,1,0.4785935289226473,nan,nan,1,0.135,nan,nan,1,0.0,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.2263736829161644,nan,nan,1,0.7736263170838356,nan,nan,1
dmsr_laplace_b1.5,1,0.14509999752044678,nan,nan,1,0.835845410823822,nan,nan,1,0.682185,nan,nan,1,0.7485,nan,nan,1,0.8635999999999999,nan,nan,1,0.34823996145912034,nan,nan,1,77.27373504638672,nan,nan,1,25.128698537279334,nan,nan,1,3.2241442842502783,nan,nan,1,0.8923196567824468,nan,nan,1,3.979591836734695,nan,nan,1,0.2616061467124382,nan,nan,1,0.7383938532875618,nan,nan,1,0.9325,nan,nan,1,0.903,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.190545454621315,nan,nan,1,0.809454545378685,nan,nan,1
dmsr_laplace_b4.0,1,0.07719999551773071,nan,nan,1,0.850136399269104,nan,nan,1,0.3607,nan,nan,1,0.8875,nan,nan,1,1.03,nan,nan,1,0.19422293202621557,nan,nan,1,53.585662841796875,nan,nan,1,10.310922899705785,nan,nan,1,1.1259324810374864,nan,nan,1,0.6745976595719432,nan,nan,1,3.979591836734695,nan,nan,1,0.24472602727473713,nan,nan,1,0.7552739727252629,nan,nan,1,0.97,nan,nan,1,0.9395,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.15713075995445253,nan,nan,1,0.8428692400455475,nan,nan,1
at0_normal_s0.5,1,0.49239999055862427,nan,nan,1,0.986194908618927,nan,nan,1,0.00117,nan,nan,1,0.1225,nan,nan,1,0.7233,nan,nan,1,0.03447632972850415,nan,nan,1,273.45538330078125,nan,nan,1,202.30901849573644,nan,nan,1,74.05523097614326,nan,nan,1,9.352502504777316,nan,nan,1,3.979591836734695,nan,nan,1,0.4415639571263455,nan,nan,1,0.5584360428736546,nan,nan,1,0.927,nan,nan,1,0.083,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.4802553057670593,nan,nan,1,0.5197446942329407,nan,nan,1
at0_normal_s1.5,1,0.15829998254776,nan,nan,1,0.8662413358688354,nan,nan,1,0.1532,nan,nan,1,0.7095,nan,nan,1,1.091,nan,nan,1,0.10347145081908127,nan,nan,1,113.51958465576172,nan,nan,1,16.666611018729462,nan,nan,1,1.6521748033851082,nan,nan,1,0.5980998473342782,nan,nan,1,3.979591836734695,nan,nan,1,0.3538792852079496,nan,nan,1,0.6461207147920505,nan,nan,1,0.9695,nan,nan,1,0.707,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.25206718146800994,nan,nan,1,0.74793281853199,nan,nan,1
at0_normal_s4.0,1,0.042900025844573975,nan,nan,1,0.8881043195724487,nan,nan,1,0.25356,nan,nan,1,0.9395,nan,nan,1,1.1147,nan,nan,1,0.1421156379356244,nan,nan,1,52.92687225341797,nan,nan,1,2.311345677011407,nan,nan,1,0.13702381615686865,nan,nan,1,0.40989949580051604,nan,nan,1,3.979591836734695,nan,nan,1,0.24754041273881738,nan,nan,1,0.7524595872611826,nan,nan,1,0.9815,nan,nan,1,0.925,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.17364488244056703,nan,nan,1,0.826355117559433,nan,nan,1
at0_laplace_b0.5,1,0.1906999945640564,nan,nan,1,0.8531622886657715,nan,nan,1,0.02351,nan,nan,1,0.64,nan,nan,1,1.1512,nan,nan,1,0.044996012296377466,nan,nan,1,155.98561096191406,nan,nan,1,22.229556353761573,nan,nan,1,2.1644142838834513,nan,nan,1,0.5617644044297575,nan,nan,1,3.979591836734695,nan,nan,1,0.4007663450931432,nan,nan,1,0.5992336549068569,nan,nan,1,0.984,nan,nan,1,0.6,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.3135019838809967,nan,nan,1,0.6864980161190033,nan,nan,1
