schedule,sigma,mse,mode_error
cosine_vp_as_ve,0.010000000000000005,0.1066737025976181,0.0
cosine_vp_as_ve,0.01100994602298563,0.11136505752801895,0.0
cosine_vp_as_ve,0.012121891142905695,0.09494294226169586,0.0
cosine_vp_as_ve,0.013346136717989924,0.0725509524345398,0.0
cosine_vp_as_ve,0.01469402448804556,0.061987996101379395,0.0
cosine_vp_as_ve,0.01617804164738105,0.05636508762836456,0.0
cosine_vp_as_ve,0.01781193652952788,0.06457801163196564,0.0
cosine_vp_as_ve,0.019610845975494787,0.06259381026029587,0.0
cosine_vp_as_ve,0.02159143556552824,0.06418962776660919,0.0
cosine_vp_as_ve,0.023772054013523794,0.055080629885196686,0.0
cosine_vp_as_ve,0.02617290315443958,0.04882856085896492,0.0
cosine_vp_as_ve,0.028816225099520986,0.044034186750650406,0.0
cosine_vp_as_ve,0.03172650829319295,0.04623734951019287,0.0
cosine_vp_as_ve,0.03493071438058602,0.04777295142412186,0.0
cosine_vp_as_ve,0.038458527987457976,0.048652295023202896,0.0
cosine_vp_as_ve,0.04234263172653941,0.04812254756689072,0.0
cosine_vp_as_ve,0.04661900897803576,0.041917938739061356,0.0
cosine_vp_as_ve,0.0513272772493256,0.047136954963207245,0.0
cosine_vp_as_ve,0.05651105520218928,0.055162783712148666,0.0
cosine_vp_as_ve,0.062218366747806474,0.04853655770421028,0.0
cosine_vp_as_ve,0.0685020859531673,0.0502120703458786,0.0
cosine_vp_as_ve,0.07542042688062935,0.047857582569122314,0.0
cosine_vp_as_ve,0.0830374828986263,0.04389209672808647,0.0
cosine_vp_as_ve,0.09142382045984675,0.056324414908885956,0.0
cosine_vp_as_ve,0.10065713284780411,0.06415632367134094,0.0
cosine_vp_as_ve,0.11082295994828163,0.07020960003137589,0.0
cosine_vp_as_ve,0.12201548071380787,0.06425304710865021,0.0
cosine_vp_as_ve,0.13433838566276676,0.060405656695365906,0.0
cosine_vp_as_ve,0.14790583749620875,0.0675899013876915,0.0
cosine_vp_as_ve,0.16284352873177418,0.09023834764957428,0.0
cosine_vp_as_ve,0.1792898461529342,0.11816707998514175,0.0
cosine_vp_as_ve,0.19739715286132026,0.1219598799943924,0.0
cosine_vp_as_ve,0.21733319980941776,0.13288980722427368,0.0
cosine_vp_as_ve,0.23928267989044386,0.133133664727211,0.0
cosine_vp_as_ve,0.2634489389829135,0.130593404173851,0.0
cosine_vp_as_ve,0.290055859801471,0.1288670301437378,0.0
cosine_vp_as_ve,0.3193499360064882,0.11912653595209122,0.001953125
cosine_vp_as_ve,0.35160255578753474,0.13142281770706177,0.0
cosine_vp_as_ve,0.3871125160764548,0.15521341562271118,0.0
cosine_vp_as_ve,0.4262087906823923,0.15808606147766113,0.0
cosine_vp_as_ve,0.46925357799351164,0.1771121472120285,0.005859375
cosine_vp_as_ve,0.5166456564801436,0.21240462362766266,0.001953125
cosine_vp_as_ve,0.5688240790856355,0.22620511054992676,0.005859375
cosine_vp_as_ve,0.6262722407307354,0.2809835970401764,0.005859375
cosine_vp_as_ve,0.6895223566139651,0.32737770676612854,0.00390625
cosine_vp_as_ve,0.7591603927961601,0.4269377291202545,0.015625
cosine_vp_as_ve,0.8358314947474289,0.5938431620597839,0.029296875
cosine_vp_as_ve,0.9202459641480578,0.6458234190940857,0.03125
cosine_vp_as_ve,1.0131858393140483,0.7312866449356079,0.03515625
cosine_vp_as_ve,1.1155121402101058,0.835647463798523,0.05078125
cosine_vp_as_ve,1.2281728451698428,0.9868464469909668,0.0859375
cosine_vp_as_ve,1.3522116732216651,1.0844463109970093,0.080078125
cosine_vp_as_ve,1.4887777533821611,1.283023715019226,0.087890625
cosine_vp_as_ve,1.6391362704959387,1.3446013927459717,0.095703125
cosine_vp_as_ve,1.804680186247825,1.8023347854614258,0.140625
cosine_vp_as_ve,1.9869431439340202,1.8306350708007812,0.146484375
cosine_vp_as_ve,2.18761367654549,2.439919948577881,0.208984375
cosine_vp_as_ve,2.4085508497910983,2.2672908306121826,0.189453125
cosine_vp_as_ve,2.651801484981615,3.1478424072265625,0.255859375
cosine_vp_as_ve,2.9196191213320715,2.95647931098938,0.244140625
cosine_vp_as_ve,3.21448489335428,3.279182195663452,0.28125
cosine_vp_as_ve,3.5391305167533327,3.382112503051758,0.287109375
cosine_vp_as_ve,3.896563595775542,3.8703367710113525,0.3359375
cosine_vp_as_ve,4.290095486461946,4.018265724182129,0.35546875
cosine_vp_as_ve,4.723371973940028,3.9454846382141113,0.3515625
cosine_vp_as_ve,5.200407047956278,4.207334041595459,0.39453125
cosine_vp_as_ve,5.72562008955526,4.440463066101074,0.423828125
cosine_vp_as_ve,6.303876813412554,4.563444137573242,0.4296875
cosine_vp_as_ve,6.940534345122285,4.297018051147461,0.4453125
cosine_vp_as_ve,7.6414908510474175,4.33203649520874,0.462890625
cosine_vp_as_ve,8.413240180517057,4.3754048347473145,0.4921875
cosine_vp_as_ve,9.262932026590663,4.672585487365723,0.517578125
cosine_vp_as_ve,10.198438162734806,4.451722621917725,0.50390625
cosine_vp_as_ve,11.228425369046683,4.571232795715332,0.533203125
cosine_vp_as_ve,12.362435723632643,4.414797782897949,0.529296875
cosine_vp_as_ve,13.610975002982464,4.468731880187988,0.56640625
