schedule,n_seeds,balance_error_mean,balance_error_std,balance_error_sem,balance_error_n,classifier_confidence_mean,classifier_confidence_std,classifier_confidence_sem,classifier_confidence_n,coverage_m_mean,coverage_m_std,coverage_m_sem,coverage_m_n,coverage_phi_mean,coverage_phi_std,coverage_phi_sem,coverage_phi_n,density_phi_mean,density_phi_std,density_phi_sem,density_phi_n,expected_s_mean,expected_s_std,expected_s_sem,expected_s_n,expected_s_norm_mean,expected_s_norm_std,expected_s_norm_sem,expected_s_norm_n,fid_phi_mean,fid_phi_std,fid_phi_sem,fid_phi_n,frac_class_0_mean,frac_class_0_std,frac_class_0_sem,frac_class_0_n,high_noise_mse_mean,high_noise_mse_std,high_noise_mse_sem,high_noise_mse_n,kid_phi_mean,kid_phi_std,kid_phi_sem,kid_phi_n,kid_phi_std_mean,kid_phi_std_std,kid_phi_std_sem,kid_phi_std_n,low_noise_mse_mean,low_noise_mse_std,low_noise_mse_sem,low_noise_mse_n,mean_mse_mean,mean_mse_std,mean_mse_sem,mean_mse_n,mean_skill_mean,mean_skill_std,mean_skill_sem,mean_skill_n,precision_phi_mean,precision_phi_std,precision_phi_sem,precision_phi_n,recall_phi_mean,recall_phi_std,recall_phi_sem,recall_phi_n,transition_mse_mean,transition_mse_std,transition_mse_sem,transition_mse_n,transition_skill_mean,transition_skill_std,transition_skill_sem,transition_skill_n
cosine_vp,1,0.14920002222061157,nan,nan,1,0.9426111578941345,nan,nan,1,0.44608,nan,nan,1,0.5835,nan,nan,1,0.7207,nan,nan,1,0.8202862326742713,nan,nan,1,0.480101753459253,nan,nan,1,16.868040453895766,nan,nan,1,0.6492000222206116,nan,nan,1,0.004395336790955351,nan,nan,1,7.936515851616138,nan,nan,1,2.2082205336555965,nan,nan,1,0.1483730673789978,nan,nan,1,0.06822898718601209,nan,nan,1,0.9317710128139879,nan,nan,1,0.9255,nan,nan,1,0.96,nan,nan,1,0.040067097704325406,nan,nan,1,0.9599329022956746,nan,nan,1
linear_vp,1,0.0942000150680542,nan,nan,1,0.9477573037147522,nan,nan,1,0.267035,nan,nan,1,0.6585,nan,nan,1,0.7458,nan,nan,1,0.5497339254368999,nan,nan,1,0.3217513729053375,nan,nan,1,12.796183717979043,nan,nan,1,0.5942000150680542,nan,nan,1,0.004244106835839749,nan,nan,1,7.245266701931423,nan,nan,1,2.413847823912723,nan,nan,1,0.15408978145569563,nan,nan,1,0.07049104676716525,nan,nan,1,0.9295089532328348,nan,nan,1,0.9245,nan,nan,1,0.95,nan,nan,1,0.040293650169457705,nan,nan,1,0.9597063498305423,nan,nan,1
uniform,1,0.07520002126693726,nan,nan,1,0.9317004084587097,nan,nan,1,0.1545,nan,nan,1,0.4965,nan,nan,1,0.7169,nan,nan,1,0.34116937765703514,nan,nan,1,0.19968153787701895,nan,nan,1,20.376137228780962,nan,nan,1,0.5752000212669373,nan,nan,1,0.0044510447106029674,nan,nan,1,11.382403968502778,nan,nan,1,3.027614227100074,nan,nan,1,0.13750402629375458,nan,nan,1,0.06439056789331517,nan,nan,1,0.9356094321066848,nan,nan,1,0.9205,nan,nan,1,0.9375,nan,nan,1,0.042841504993183274,nan,nan,1,0.9571584950068167,nan,nan,1
hang_laplace_b0.5,1,0.002400010824203491,nan,nan,1,0.9368899464607239,nan,nan,1,0.947685,nan,nan,1,0.3545,nan,nan,1,0.4798,nan,nan,1,1.4255610718545009,nan,nan,1,0.8343604256642123,nan,nan,1,14.666147550389727,nan,nan,1,0.4975999891757965,nan,nan,1,0.01108570458531818,nan,nan,1,8.992356406888096,nan,nan,1,3.1040998123055785,nan,nan,1,0.48451085202395916,nan,nan,1,0.20530741371330805,nan,nan,1,0.7946925862866919,nan,nan,1,0.8305,nan,nan,1,0.974,nan,nan,1,0.03880941974265235,nan,nan,1,0.9611905802573476,nan,nan,1
dmsr_normal_s0.3,1,0.13999998569488525,nan,nan,1,0.9195897579193115,nan,nan,1,0.999695,nan,nan,1,0.026,nan,nan,1,0.1033,nan,nan,1,1.5920950137324483,nan,nan,1,0.9318303505774013,nan,nan,1,38.01662194803792,nan,nan,1,0.36000001430511475,nan,nan,1,0.15382088983760162,nan,nan,1,17.48007388297957,nan,nan,1,4.139506367116163,nan,nan,1,0.7028678967617452,nan,nan,1,0.35359004363417623,nan,nan,1,0.6464099563658238,nan,nan,1,0.4155,nan,nan,1,0.387,nan,nan,1,0.04039432427712849,nan,nan,1,0.9596056757228715,nan,nan,1
dmsr_normal_s0.8,1,0.3460000157356262,nan,nan,1,0.9451169967651367,nan,nan,1,0.89551,nan,nan,1,0.0205,nan,nan,1,0.1401,nan,nan,1,1.3810807584061928,nan,nan,1,0.8083267368976353,nan,nan,1,43.9047285667398,nan,nan,1,0.8460000157356262,nan,nan,1,0.06650441035847454,nan,nan,1,8.913127867234355,nan,nan,1,1.7116975992264767,nan,nan,1,0.5380497886799276,nan,nan,1,0.25024110099766406,nan,nan,1,0.7497588990023359,nan,nan,1,0.4525,nan,nan,1,0.2385,nan,nan,1,0.038610349276236126,nan,nan,1,0.9613896507237639,nan,nan,1
dmsr_normal_s1.5,1,0.008199989795684814,nan,nan,1,0.9359943270683289,nan,nan,1,0.666615,nan,nan,1,0.2045,nan,nan,1,0.3387,nan,nan,1,1.114310749408783,nan,nan,1,0.6521900811933875,nan,nan,1,16.160700088131556,nan,nan,1,0.5081999897956848,nan,nan,1,0.01785000189043143,nan,nan,1,8.766803785243178,nan,nan,1,3.001126553292989,nan,nan,1,0.3235503900796175,nan,nan,1,0.14380341956857592,nan,nan,1,0.8561965804314241,nan,nan,1,0.7275,nan,nan,1,0.907,nan,nan,1,0.03884007276168892,nan,nan,1,0.9611599272383111,nan,nan,1
dmsr_normal_s2.5,1,0.08639997243881226,nan,nan,1,0.9450640678405762,nan,nan,1,0.452505,nan,nan,1,0.6385,nan,nan,1,0.6797,nan,nan,1,0.8368404296930273,nan,nan,1,0.48979068727190994,nan,nan,1,12.528348137023839,nan,nan,1,0.5863999724388123,nan,nan,1,0.004922088574590709,nan,nan,1,7.210148518340755,nan,nan,1,2.472443487206046,nan,nan,1,0.1510613327845931,nan,nan,1,0.06946327891637338,nan,nan,1,0.9305367210836266,nan,nan,1,0.908,nan,nan,1,0.976,nan,nan,1,0.03969633233334337,nan,nan,1,0.9603036676666566,nan,nan,1
dmsr_normal_s4.0,1,0.043200016021728516,nan,nan,1,0.9371783137321472,nan,nan,1,0.29594,nan,nan,1,0.5665,nan,nan,1,0.7028,nan,nan,1,0.5924492716540541,nan,nan,1,0.34675205169475987,nan,nan,1,15.12005278723668,nan,nan,1,0.5432000160217285,nan,nan,1,0.00447857282586697,nan,nan,1,9.115542826535004,nan,nan,1,2.809292042651574,nan,nan,1,0.1417234819382429,nan,nan,1,0.06582500725598947,nan,nan,1,0.9341749927440105,nan,nan,1,0.9225,nan,nan,1,0.9515,nan,nan,1,0.04132697731256485,nan,nan,1,0.9586730226874352,nan,nan,1
dmsr_normal_s6.0,1,0.058600008487701416,nan,nan,1,0.9305089116096497,nan,nan,1,0.200875,nan,nan,1,0.508,nan,nan,1,0.6969000000000001,nan,nan,1,0.42106419714875293,nan,nan,1,0.24644282851240099,nan,nan,1,18.08647409621982,nan,nan,1,0.5586000084877014,nan,nan,1,0.004493099999415469,nan,nan,1,10.44145997181902,nan,nan,1,2.975688468274215,nan,nan,1,0.13564301328733563,nan,nan,1,0.0635974633416481,nan,nan,1,0.9364025366583519,nan,nan,1,0.9205,nan,nan,1,0.95,nan,nan,1,0.042461088725498745,nan,nan,1,0.9575389112745013,nan,nan,1
