schedule,seed,lambda,mse
cosine_vp,20260526,-10.0,0.0002895594807341695
cosine_vp,20260526,-9.487179487179487,0.00021506832854356617
cosine_vp,20260526,-8.974358974358974,0.00022331734362524003
cosine_vp,20260526,-8.461538461538462,0.00023776106536388397
cosine_vp,20260526,-7.948717948717949,0.000296578771667555
cosine_vp,20260526,-7.435897435897436,0.00036995476693846285
cosine_vp,20260526,-6.923076923076923,0.0005010454333387315
cosine_vp,20260526,-6.410256410256411,0.0006703530671074986
cosine_vp,20260526,-5.897435897435898,0.0009489109506830573
cosine_vp,20260526,-5.384615384615385,0.001448886701837182
cosine_vp,20260526,-4.871794871794872,0.002188193378970027
cosine_vp,20260526,-4.3589743589743595,0.003249718341976404
cosine_vp,20260526,-3.8461538461538467,0.005326530430465937
cosine_vp,20260526,-3.333333333333334,0.007909667678177357
cosine_vp,20260526,-2.820512820512821,0.011874247342348099
cosine_vp,20260526,-2.3076923076923084,0.01634301245212555
cosine_vp,20260526,-1.7948717948717956,0.022627919912338257
cosine_vp,20260526,-1.2820512820512828,0.027066273614764214
cosine_vp,20260526,-0.76923076923077,0.029805712401866913
cosine_vp,20260526,-0.2564102564102573,0.03383254259824753
cosine_vp,20260526,0.2564102564102555,0.0392761155962944
cosine_vp,20260526,0.7692307692307683,0.04259563982486725
cosine_vp,20260526,1.282051282051281,0.04904623702168465
cosine_vp,20260526,1.7948717948717938,0.05884716287255287
cosine_vp,20260526,2.3076923076923066,0.06864281743764877
cosine_vp,20260526,2.8205128205128194,0.08184531331062317
cosine_vp,20260526,3.333333333333332,0.0908166691660881
cosine_vp,20260526,3.846153846153845,0.10604692995548248
cosine_vp,20260526,4.358974358974358,0.11632882058620453
cosine_vp,20260526,4.8717948717948705,0.12528543174266815
cosine_vp,20260526,5.384615384615383,0.13420304656028748
cosine_vp,20260526,5.897435897435896,0.14028824865818024
cosine_vp,20260526,6.410256410256409,0.15093916654586792
cosine_vp,20260526,6.92307692307692,0.15889981389045715
cosine_vp,20260526,7.435897435897434,0.16363486647605896
cosine_vp,20260526,7.948717948717949,0.17386598885059357
cosine_vp,20260526,8.46153846153846,0.18456366658210754
cosine_vp,20260526,8.974358974358971,0.2024916261434555
cosine_vp,20260526,9.487179487179485,0.22539274394512177
cosine_vp,20260526,10.0,0.2507239282131195
linear_vp,20260526,-10.0,0.00012021055590594187
linear_vp,20260526,-9.487179487179487,0.0001209381443914026
linear_vp,20260526,-8.974358974358974,0.00013679642870556563
linear_vp,20260526,-8.461538461538462,0.0001493352756369859
linear_vp,20260526,-7.948717948717949,0.00018179499602410942
linear_vp,20260526,-7.435897435897436,0.00023717788280919194
linear_vp,20260526,-6.923076923076923,0.00034316416713409126
linear_vp,20260526,-6.410256410256411,0.0005052916239947081
linear_vp,20260526,-5.897435897435898,0.0007969278958626091
linear_vp,20260526,-5.384615384615385,0.0012979370076209307
linear_vp,20260526,-4.871794871794872,0.0020583190489560366
linear_vp,20260526,-4.3589743589743595,0.0031375864055007696
linear_vp,20260526,-3.8461538461538467,0.005166566930711269
linear_vp,20260526,-3.333333333333334,0.007747202180325985
linear_vp,20260526,-2.820512820512821,0.011715646833181381
linear_vp,20260526,-2.3076923076923084,0.01615418866276741
linear_vp,20260526,-1.7948717948717956,0.022280732169747353
linear_vp,20260526,-1.2820512820512828,0.026779742911458015
linear_vp,20260526,-0.76923076923077,0.029664598405361176
linear_vp,20260526,-0.2564102564102573,0.03378003463149071
linear_vp,20260526,0.2564102564102555,0.039636604487895966
linear_vp,20260526,0.7692307692307683,0.04303819686174393
linear_vp,20260526,1.282051282051281,0.04966084659099579
linear_vp,20260526,1.7948717948717938,0.05949552729725838
linear_vp,20260526,2.3076923076923066,0.06995947659015656
linear_vp,20260526,2.8205128205128194,0.08325210958719254
linear_vp,20260526,3.333333333333332,0.0922296866774559
linear_vp,20260526,3.846153846153845,0.10762272775173187
linear_vp,20260526,4.358974358974358,0.11789016425609589
linear_vp,20260526,4.8717948717948705,0.1268462985754013
linear_vp,20260526,5.384615384615383,0.1367906630039215
linear_vp,20260526,5.897435897435896,0.14357484877109528
linear_vp,20260526,6.410256410256409,0.15466588735580444
linear_vp,20260526,6.92307692307692,0.16429102420806885
linear_vp,20260526,7.435897435897434,0.17029857635498047
linear_vp,20260526,7.948717948717949,0.18225280940532684
linear_vp,20260526,8.46153846153846,0.19463121891021729
linear_vp,20260526,8.974358974358971,0.2153407782316208
linear_vp,20260526,9.487179487179485,0.2398156225681305
linear_vp,20260526,10.0,0.26597461104393005
uniform,20260526,-10.0,0.00011357881157891825
uniform,20260526,-9.487179487179487,0.00012173873255960643
uniform,20260526,-8.974358974358974,0.00013953143206890672
uniform,20260526,-8.461538461538462,0.00015910978254396468
uniform,20260526,-7.948717948717949,0.00020033924374729395
uniform,20260526,-7.435897435897436,0.00026160277775488794
uniform,20260526,-6.923076923076923,0.0003652192826848477
uniform,20260526,-6.410256410256411,0.0005346382386051118
uniform,20260526,-5.897435897435898,0.0008299157489091158
uniform,20260526,-5.384615384615385,0.0013239316176623106
uniform,20260526,-4.871794871794872,0.00212839781306684
uniform,20260526,-4.3589743589743595,0.0032119988463819027
uniform,20260526,-3.8461538461538467,0.005276380572468042
uniform,20260526,-3.333333333333334,0.007949404418468475
uniform,20260526,-2.820512820512821,0.012238629162311554
uniform,20260526,-2.3076923076923084,0.016995565965771675
uniform,20260526,-1.7948717948717956,0.023817777633666992
uniform,20260526,-1.2820512820512828,0.02862718515098095
uniform,20260526,-0.76923076923077,0.03194325789809227
uniform,20260526,-0.2564102564102573,0.03704991191625595
uniform,20260526,0.2564102564102555,0.04233437404036522
uniform,20260526,0.7692307692307683,0.04566779360175133
uniform,20260526,1.282051282051281,0.05255899578332901
uniform,20260526,1.7948717948717938,0.06170901656150818
uniform,20260526,2.3076923076923066,0.07149340212345123
uniform,20260526,2.8205128205128194,0.08507586270570755
uniform,20260526,3.333333333333332,0.09386766701936722
uniform,20260526,3.846153846153845,0.10894495993852615
uniform,20260526,4.358974358974358,0.11936662346124649
uniform,20260526,4.8717948717948705,0.127237007021904
uniform,20260526,5.384615384615383,0.13503585755825043
uniform,20260526,5.897435897435896,0.14025048911571503
uniform,20260526,6.410256410256409,0.14886491000652313
uniform,20260526,6.92307692307692,0.15290319919586182
uniform,20260526,7.435897435897434,0.15347155928611755
uniform,20260526,7.948717948717949,0.15835338830947876
uniform,20260526,8.46153846153846,0.16208823025226593
uniform,20260526,8.974358974358971,0.17015571892261505
uniform,20260526,9.487179487179485,0.18076275289058685
uniform,20260526,10.0,0.19219279289245605
hang_laplace_b0.5,20260526,-10.0,0.018010923638939857
hang_laplace_b0.5,20260526,-9.487179487179487,0.018464265391230583
hang_laplace_b0.5,20260526,-8.974358974358974,0.018279680982232094
hang_laplace_b0.5,20260526,-8.461538461538462,0.016969628632068634
hang_laplace_b0.5,20260526,-7.948717948717949,0.014571312814950943
hang_laplace_b0.5,20260526,-7.435897435897436,0.011459056288003922
hang_laplace_b0.5,20260526,-6.923076923076923,0.007957620546221733
hang_laplace_b0.5,20260526,-6.410256410256411,0.005129621829837561
hang_laplace_b0.5,20260526,-5.897435897435898,0.0033871561754494905
hang_laplace_b0.5,20260526,-5.384615384615385,0.002712159650400281
hang_laplace_b0.5,20260526,-4.871794871794872,0.002900750609114766
hang_laplace_b0.5,20260526,-4.3589743589743595,0.0038817147724330425
hang_laplace_b0.5,20260526,-3.8461538461538467,0.005505868699401617
hang_laplace_b0.5,20260526,-3.333333333333334,0.008620847016572952
hang_laplace_b0.5,20260526,-2.820512820512821,0.012214253656566143
hang_laplace_b0.5,20260526,-2.3076923076923084,0.016957269981503487
hang_laplace_b0.5,20260526,-1.7948717948717956,0.02143484726548195
hang_laplace_b0.5,20260526,-1.2820512820512828,0.024858755990862846
hang_laplace_b0.5,20260526,-0.76923076923077,0.029201271012425423
hang_laplace_b0.5,20260526,-0.2564102564102573,0.03154274821281433
hang_laplace_b0.5,20260526,0.2564102564102555,0.035819895565509796
hang_laplace_b0.5,20260526,0.7692307692307683,0.04233085736632347
hang_laplace_b0.5,20260526,1.282051282051281,0.04849766567349434
hang_laplace_b0.5,20260526,1.7948717948717938,0.05941474437713623
hang_laplace_b0.5,20260526,2.3076923076923066,0.0719669833779335
hang_laplace_b0.5,20260526,2.8205128205128194,0.08673935383558273
hang_laplace_b0.5,20260526,3.333333333333332,0.10275314748287201
hang_laplace_b0.5,20260526,3.846153846153845,0.12417773902416229
hang_laplace_b0.5,20260526,4.358974358974358,0.1581675112247467
hang_laplace_b0.5,20260526,4.8717948717948705,0.2006630301475525
hang_laplace_b0.5,20260526,5.384615384615383,0.2678205072879791
hang_laplace_b0.5,20260526,5.897435897435896,0.3746877610683441
hang_laplace_b0.5,20260526,6.410256410256409,0.4880028963088989
hang_laplace_b0.5,20260526,6.92307692307692,0.6042941212654114
hang_laplace_b0.5,20260526,7.435897435897434,0.7275927662849426
hang_laplace_b0.5,20260526,7.948717948717949,0.8118780851364136
hang_laplace_b0.5,20260526,8.46153846153846,0.8764221668243408
hang_laplace_b0.5,20260526,8.974358974358971,0.926563560962677
hang_laplace_b0.5,20260526,9.487179487179485,0.9507505297660828
hang_laplace_b0.5,20260526,10.0,0.9796934723854065
dmsr_normal_s0.3,20260526,-10.0,0.19069698452949524
dmsr_normal_s0.3,20260526,-9.487179487179487,0.1793574094772339
dmsr_normal_s0.3,20260526,-8.974358974358974,0.17247308790683746
dmsr_normal_s0.3,20260526,-8.461538461538462,0.16812561452388763
dmsr_normal_s0.3,20260526,-7.948717948717949,0.1698567122220993
dmsr_normal_s0.3,20260526,-7.435897435897436,0.17690981924533844
dmsr_normal_s0.3,20260526,-6.923076923076923,0.19132132828235626
dmsr_normal_s0.3,20260526,-6.410256410256411,0.2043580412864685
dmsr_normal_s0.3,20260526,-5.897435897435898,0.21405787765979767
dmsr_normal_s0.3,20260526,-5.384615384615385,0.2140289545059204
