schedule,seed,coverage_m,expected_s_norm,mean_mse,mean_bayes_mse,mean_excess_mse,transition_mse,transition_bayes_mse,transition_excess_mse,low_noise_mse,high_noise_mse,mean_mode_error,transition_mode_error
cosine_vp,20260526,0.59396,0.5770009332416868,0.5339760850183666,0.5294517125781567,0.004382689270096307,0.5776232224371698,0.5764676613940133,0.0009536431284181566,0.9760885946452618,0.03620112563172976,0.2204345703125,0.1521538628472222
hang_laplace_lambda_b0.5,20260526,0.98733,0.9351781673158918,0.6125916361808776,0.5294517125781567,0.08324126518709818,0.5803884814182917,0.5764676613940133,0.003823735654198875,0.9854062888771296,0.23424456616242725,0.2214508056640625,0.15208604600694445
dmsr_normal_wide_s1.5,20260526,0.85694,0.7747575258437892,0.5571410801261664,0.5294517125781567,0.02770177863103527,0.5791427418589592,0.5764676613940133,0.00220576503003637,0.9784291740506887,0.09456611623366674,0.2234619140625,0.15193684895833334
dmsr_normal_mid_s0.8,20260526,0.992475,0.9117659672432398,0.617221378791146,0.5294517125781567,0.08838585131597938,0.5794546206792196,0.5764676613940133,0.0027708065010503763,1.003849284723401,0.22747833399722975,0.2217041015625,0.15186903211805555
dmsr_normal_narrow_s0.3,20260526,1.0,0.9855049774958627,0.6443602902814746,0.5294517125781567,0.11563076930469833,0.6005943798356586,0.5764676613940133,0.024423395361130435,1.1525979582220316,0.12849965741237004,0.2140289306640625,0.1520453559027778
dmsr_laplace_b0.5,20260526,0.987135,0.9349748085655037,0.6133156086783856,0.5294517125781567,0.08394313365715789,0.5803345094124476,0.5764676613940133,0.0037484447627017894,0.9853263255208731,0.23629283693929512,0.2212005615234375,0.15214029947916666
