schedule,seed,lambda,mse,bayes_mse,excess_mse,mode_error
cosine_vp,20260526,-10.0,0.1213667243719101,0.00019581943342927843,0.1207064539194107,0.5234375
cosine_vp,20260526,-8.181818181818182,0.20160746574401855,0.0011982540600001812,0.20316115021705627,0.46875
cosine_vp,20260526,-6.363636363636363,0.1407323032617569,0.006808472331613302,0.13654255867004395,0.484375
cosine_vp,20260526,-4.545454545454546,0.2012750655412674,0.04057399928569794,0.18312788009643555,0.40625
cosine_vp,20260526,-2.7272727272727275,0.35726624727249146,0.20528583228588104,0.1697094738483429,0.2734375
cosine_vp,20260526,-0.9090909090909101,0.7557326555252075,0.5609431266784668,0.14448429644107819,0.109375
cosine_vp,20260526,0.9090909090909083,0.9164886474609375,0.6119255423545837,0.5267922282218933,0.0234375
cosine_vp,20260526,2.7272727272727266,0.9774596691131592,0.8045425415039062,0.21687951683998108,0.0
cosine_vp,20260526,4.545454545454545,1.064571499824524,1.048790454864502,0.10025583207607269,0.0
cosine_vp,20260526,6.363636363636363,1.2014341354370117,1.0530282258987427,0.08443115651607513,0.0
cosine_vp,20260526,8.18181818181818,1.2831096649169922,1.2628127336502075,0.07511984556913376,0.0
cosine_vp,20260526,10.0,1.0472228527069092,0.9346206188201904,0.10563677549362183,0.0
linear_gamma,20260526,-10.0,0.32414475083351135,0.00019581943342927843,0.3230494260787964,0.5
linear_gamma,20260526,-8.181818181818182,0.41079390048980713,0.0011982540600001812,0.41336020827293396,0.5
linear_gamma,20260526,-6.363636363636363,0.2966766059398651,0.006808472331613302,0.29496943950653076,0.4609375
linear_gamma,20260526,-4.545454545454546,0.3937864899635315,0.04057399928569794,0.3856697380542755,0.3984375
linear_gamma,20260526,-2.7272727272727275,0.5154348015785217,0.20528583228588104,0.32966455817222595,0.2578125
linear_gamma,20260526,-0.9090909090909101,0.8107864856719971,0.5609431266784668,0.19749435782432556,0.1015625
linear_gamma,20260526,0.9090909090909083,0.920685887336731,0.6119255423545837,0.5103604793548584,0.0234375
linear_gamma,20260526,2.7272727272727266,0.9661559462547302,0.8045425415039062,0.2078438401222229,0.0
linear_gamma,20260526,4.545454545454545,1.0509905815124512,1.048790454864502,0.1036679595708847,0.0
linear_gamma,20260526,6.363636363636363,1.1674401760101318,1.0530282258987427,0.06873664259910583,0.0
linear_gamma,20260526,8.18181818181818,1.2636157274246216,1.2628127336502075,0.031121600419282913,0.0
linear_gamma,20260526,10.0,0.9897838830947876,0.9346206188201904,0.0645531639456749,0.0
hang_laplace_lambda_b0.5,20260526,-10.0,0.983648419380188,0.00019581943342927843,0.9823492765426636,0.5078125
hang_laplace_lambda_b0.5,20260526,-8.181818181818182,0.7700446248054504,0.0011982540600001812,0.7703797817230225,0.4921875
hang_laplace_lambda_b0.5,20260526,-6.363636363636363,0.6223002672195435,0.006808472331613302,0.6216710805892944,0.484375
hang_laplace_lambda_b0.5,20260526,-4.545454545454546,0.6723461747169495,0.04057399928569794,0.662081778049469,0.3359375
hang_laplace_lambda_b0.5,20260526,-2.7272727272727275,0.737339973449707,0.20528583228588104,0.5529242753982544,0.2421875
hang_laplace_lambda_b0.5,20260526,-0.9090909090909101,0.8222401738166809,0.5609431266784668,0.22375965118408203,0.0859375
hang_laplace_lambda_b0.5,20260526,0.9090909090909083,0.9093259572982788,0.6119255423545837,0.49908146262168884,0.0234375
hang_laplace_lambda_b0.5,20260526,2.7272727272727266,1.008131504058838,0.8045425415039062,0.24618558585643768,0.0
hang_laplace_lambda_b0.5,20260526,4.545454545454545,1.0607507228851318,1.048790454864502,0.20776838064193726,0.0
hang_laplace_lambda_b0.5,20260526,6.363636363636363,1.2486473321914673,1.0530282258987427,0.19588081538677216,0.0
hang_laplace_lambda_b0.5,20260526,8.18181818181818,1.4787027835845947,1.2628127336502075,0.22818782925605774,0.0
hang_laplace_lambda_b0.5,20260526,10.0,1.1157987117767334,0.9346206188201904,0.24469506740570068,0.0
dmsr_normal_wide_s1.5,20260526,-10.0,0.7865143418312073,0.00019581943342927843,0.7849200963973999,0.5234375
dmsr_normal_wide_s1.5,20260526,-8.181818181818182,0.7463488578796387,0.0011982540600001812,0.7492366433143616,0.453125
dmsr_normal_wide_s1.5,20260526,-6.363636363636363,0.6061419248580933,0.006808472331613302,0.6070228815078735,0.4140625
dmsr_normal_wide_s1.5,20260526,-4.545454545454546,0.6851381659507751,0.04057399928569794,0.6846805214881897,0.3984375
dmsr_normal_wide_s1.5,20260526,-2.7272727272727275,0.7921239137649536,0.20528583228588104,0.6163389682769775,0.2734375
dmsr_normal_wide_s1.5,20260526,-0.9090909090909101,0.9361103773117065,0.5609431266784668,0.33166080713272095,0.09375
dmsr_normal_wide_s1.5,20260526,0.9090909090909083,0.929020881652832,0.6119255423545837,0.4937022924423218,0.0234375
dmsr_normal_wide_s1.5,20260526,2.7272727272727266,0.942101240158081,0.8045425415039062,0.18716725707054138,0.0
dmsr_normal_wide_s1.5,20260526,4.545454545454545,1.0937830209732056,1.048790454864502,0.08491386473178864,0.0
dmsr_normal_wide_s1.5,20260526,6.363636363636363,1.1419497728347778,1.0530282258987427,0.04664739966392517,0.0
dmsr_normal_wide_s1.5,20260526,8.18181818181818,1.2647274732589722,1.2628127336502075,0.02108604833483696,0.0
dmsr_normal_wide_s1.5,20260526,10.0,0.958829402923584,0.9346206188201904,0.03687918931245804,0.0
dmsr_normal_mid_s0.8,20260526,-10.0,0.9436752796173096,0.00019581943342927843,0.9420162439346313,0.546875
dmsr_normal_mid_s0.8,20260526,-8.181818181818182,0.8882505893707275,0.0011982540600001812,0.8906136751174927,0.5
dmsr_normal_mid_s0.8,20260526,-6.363636363636363,0.7313133478164673,0.006808472331613302,0.73268723487854,0.453125
dmsr_normal_mid_s0.8,20260526,-4.545454545454546,0.8053061366081238,0.04057399928569794,0.8067762851715088,0.4140625
dmsr_normal_mid_s0.8,20260526,-2.7272727272727275,0.8767048120498657,0.20528583228588104,0.7018376588821411,0.265625
dmsr_normal_mid_s0.8,20260526,-0.9090909090909101,0.9710738658905029,0.5609431266784668,0.368762731552124,0.09375
dmsr_normal_mid_s0.8,20260526,0.9090909090909083,0.9312046766281128,0.6119255423545837,0.4927482008934021,0.0234375
dmsr_normal_mid_s0.8,20260526,2.7272727272727266,0.9512307047843933,0.8045425415039062,0.1947946548461914,0.0
dmsr_normal_mid_s0.8,20260526,4.545454545454545,1.06753408908844,1.048790454864502,0.07374291867017746,0.0
dmsr_normal_mid_s0.8,20260526,6.363636363636363,1.1462392807006836,1.0530282258987427,0.054813895374536514,0.0
dmsr_normal_mid_s0.8,20260526,8.18181818181818,1.2747029066085815,1.2628127336502075,0.038212694227695465,0.0
dmsr_normal_mid_s0.8,20260526,10.0,0.9664823412895203,0.9346206188201904,0.05461491644382477,0.0
dmsr_normal_narrow_s0.3,20260526,-10.0,1.0019261837005615,0.00019581943342927843,1.0002589225769043,0.5234375
