schedule,seed,coverage_m,expected_s_norm,mean_mse,mean_bayes_mse,mean_excess_mse,transition_mse,transition_bayes_mse,transition_excess_mse,low_noise_mse,high_noise_mse,mean_mode_error,transition_mode_error
cosine_vp,20260526,0.58616,0.6240654356214123,0.6890222442646822,0.5442271350972684,0.17223726399242878,0.8361106514930725,0.5864343345165253,0.33563826233148575,1.1147595643997192,0.2044495612382889,0.19075520833333334,0.06640625
linear_gamma,20260526,0.790365,0.7883042864230284,0.7591912696758906,0.5442271350972684,0.24420761782675982,0.865736186504364,0.5864343345165253,0.353927418589592,1.0875972628593444,0.38816730976104735,0.18684895833333334,0.0625
hang_laplace_lambda_b0.5,20260526,0.983425,0.9653024212617415,0.9524397204319636,0.5442271350972684,0.4529137487212817,0.8657830655574799,0.5864343345165253,0.36142055690288544,1.182406210899353,0.7571358919143677,0.18098958333333334,0.0546875
dmsr_normal_wide_s1.5,20260526,0.785895,0.7902987595882609,0.906899114449819,0.5442271350972684,0.3870213308061163,0.9325656294822693,0.5864343345165253,0.41268154978752136,1.080278182029724,0.7232534408569335,0.181640625,0.05859375
dmsr_normal_mid_s0.8,20260526,0.94446,0.9177947465013528,0.9628098358710607,0.5442271350972684,0.4459684258326888,0.9511392712593079,0.5864343345165253,0.43075546622276306,1.0812378644943237,0.8490500330924988,0.19140625,0.05859375
dmsr_normal_narrow_s0.3,20260526,0.99999,0.9863501359395969,0.9830385992924372,0.5442271350972684,0.468298081929485,0.9582546651363373,0.5864343345165253,0.4395826607942581,1.0795164465904237,0.8964743256568909,0.18815104166666666,0.05859375
dmsr_laplace_b0.5,20260526,0.96054,0.9392037439646436,0.9690776566664377,0.5442271350972684,0.45403464790433645,0.9548617601394653,0.5864343345165253,0.43451106548309326,1.0887451648712159,0.8550965070724488,0.18684895833333334,0.05859375
