schedule,seed,sigma,mse,bayes_mse,excess_mse,mode_error
cosine_vp_as_ve,20260526,0.010000000000000005,0.01077994890511036,0.00010076811304315925,0.01068419311195612,0.000244140625
cosine_vp_as_ve,20260526,0.01100994602298563,0.017955780029296875,0.00012013866944471374,0.017796099185943604,0.0
cosine_vp_as_ve,20260526,0.012121891142905695,0.02335488423705101,0.00014955850201658905,0.02319134771823883,0.000244140625
cosine_vp_as_ve,20260526,0.013346136717989924,0.023076815530657768,0.0001795902498997748,0.022848140448331833,0.0
cosine_vp_as_ve,20260526,0.01469402448804556,0.018131576478481293,0.00021717374329455197,0.017898239195346832,0.0
cosine_vp_as_ve,20260526,0.01617804164738105,0.013189802877604961,0.00026419066125527024,0.012953996658325195,0.0
cosine_vp_as_ve,20260526,0.01781193652952788,0.010418715886771679,0.00031827809289097786,0.010231511667370796,0.00048828125
cosine_vp_as_ve,20260526,0.019610845975494787,0.009736753068864346,0.0003837294061668217,0.009356258437037468,0.0
cosine_vp_as_ve,20260526,0.02159143556552824,0.01001172885298729,0.00046819253475405276,0.009580438025295734,0.0
cosine_vp_as_ve,20260526,0.023772054013523794,0.009854692965745926,0.0005845538107678294,0.00919765792787075,0.0
cosine_vp_as_ve,20260526,0.02617290315443958,0.00956684723496437,0.0006726571591570973,0.008783404715359211,0.0
cosine_vp_as_ve,20260526,0.028816225099520986,0.008759898133575916,0.0008540459675714374,0.00784801784902811,0.0
cosine_vp_as_ve,20260526,0.03172650829319295,0.007343463599681854,0.0009786845184862614,0.006320009008049965,0.0
cosine_vp_as_ve,20260526,0.03493071438058602,0.005957974120974541,0.0012352478224784136,0.004835750907659531,0.0
cosine_vp_as_ve,20260526,0.038458527987457976,0.0065118130296468735,0.0014422968961298466,0.005066640675067902,0.0
cosine_vp_as_ve,20260526,0.04234263172653941,0.008023104630410671,0.0018242516089230776,0.006141183897852898,0.0
cosine_vp_as_ve,20260526,0.04661900897803576,0.009387685917317867,0.002155677415430546,0.007316856645047665,0.0
cosine_vp_as_ve,20260526,0.0513272772493256,0.01025768369436264,0.002573816804215312,0.007835067808628082,0.0
cosine_vp_as_ve,20260526,0.05651105520218928,0.010794536210596561,0.0031006955541670322,0.00760259386152029,0.0
cosine_vp_as_ve,20260526,0.062218366747806474,0.010940710082650185,0.0038452392909675837,0.007110348902642727,0.0
cosine_vp_as_ve,20260526,0.0685020859531673,0.01138322614133358,0.00475672259926796,0.006464237347245216,0.0
cosine_vp_as_ve,20260526,0.07542042688062935,0.012371423654258251,0.005591358058154583,0.0067728012800216675,0.00048828125
cosine_vp_as_ve,20260526,0.0830374828986263,0.013992915861308575,0.0065380423329770565,0.007223275490105152,0.0
cosine_vp_as_ve,20260526,0.09142382045984675,0.01586902141571045,0.008125467225909233,0.0078058671206235886,0.0
cosine_vp_as_ve,20260526,0.10065713284780411,0.016771212220191956,0.009667456150054932,0.007100478280335665,0.000244140625
cosine_vp_as_ve,20260526,0.11082295994828163,0.019727740436792374,0.011950762942433357,0.007424098439514637,0.0
cosine_vp_as_ve,20260526,0.12201548071380787,0.022716442123055458,0.01426871307194233,0.008174136281013489,0.0
cosine_vp_as_ve,20260526,0.13433838566276676,0.024936461821198463,0.0171445831656456,0.008198861964046955,0.0
cosine_vp_as_ve,20260526,0.14790583749620875,0.027375705540180206,0.019826147705316544,0.00720618711784482,0.0
cosine_vp_as_ve,20260526,0.16284352873177418,0.029593434184789658,0.024120615795254707,0.005609914660453796,0.0
cosine_vp_as_ve,20260526,0.1792898461529342,0.031989458948373795,0.02778162620961666,0.004310517106205225,0.00048828125
cosine_vp_as_ve,20260526,0.19739715286132026,0.038993217051029205,0.034496936947107315,0.004180546384304762,0.0
cosine_vp_as_ve,20260526,0.21733319980941776,0.044553063809871674,0.03946719318628311,0.005184394307434559,0.0
cosine_vp_as_ve,20260526,0.23928267989044386,0.054225336760282516,0.04744911193847656,0.006829831749200821,0.000244140625
cosine_vp_as_ve,20260526,0.2634489389829135,0.06421066075563431,0.05554589629173279,0.007685726508498192,0.00048828125
cosine_vp_as_ve,20260526,0.290055859801471,0.07034719735383987,0.06406278908252716,0.006758468225598335,0.00048828125
cosine_vp_as_ve,20260526,0.3193499360064882,0.08067932724952698,0.0757552832365036,0.004790603648871183,0.00048828125
cosine_vp_as_ve,20260526,0.35160255578753474,0.08524325489997864,0.08146330714225769,0.0035180237609893084,0.000244140625
cosine_vp_as_ve,20260526,0.3871125160764548,0.09976237267255783,0.09704311192035675,0.0034667521249502897,0.00048828125
cosine_vp_as_ve,20260526,0.4262087906823923,0.11001059412956238,0.10654859244823456,0.0035302715841680765,0.00146484375
cosine_vp_as_ve,20260526,0.46925357799351164,0.12777277827262878,0.12454377114772797,0.004103193525224924,0.00146484375
cosine_vp_as_ve,20260526,0.5166456564801436,0.1432548612356186,0.14121131598949432,0.00423393351957202,0.00244140625
