schedule,seed,coverage_m,expected_s_norm,fid_phi,kid_phi,kid_phi_std,precision_phi,recall_phi,density_phi,coverage_phi,classifier_confidence,balance_error,mean_mse,transition_mse,low_noise_mse,high_noise_mse
cosine_vp,20260526,0.49722,0.518575771298964,36.76911403959835,71.06828735351563,34.04387754701425,0.8465,0.977,0.577,0.4825,0.9667925834655762,0.1406000256538391,0.05297351657318359,0.02171767398249358,0.11260476817979533,0.002061214134058294
hang_laplace_b0.5,20260526,0.95692,0.8614770864693099,112.31716572873933,236.59646667480467,52.28408791442993,0.577,0.7375,0.24740000000000004,0.092,0.9309086203575134,0.19139999151229858,0.18956816697027534,0.020932046696543694,0.42737557870500226,0.009992364483575026
dmsr_normal_s1.5,20260526,0.76172,0.7032476226111326,103.66554329948983,70.68723876953125,24.7453266781394,0.814,0.9825,0.5219,0.397,0.9715973734855652,0.30080002546310425,0.15537507994449698,0.020836404408328235,0.349743300501038,0.0068450569330404205
dmsr_normal_s0.8,20260526,0.96839,0.8388680203630219,149.492301969581,435.07262145996094,63.17350872451917,0.271,0.2635,0.0884,0.0145,0.9087417125701904,0.02219998836517334,0.2566430143895559,0.020806248299777508,0.5747935920953751,0.02185196823750933
dmsr_normal_s0.3,20260526,1.0,0.9487945940865885,478.3445176574178,2140.1582153320314,182.3408381934472,0.0,0.0,0.0,0.0,0.9982917904853821,0.4992000000202097,0.3395532007794827,0.022330105304718018,0.7207468958461986,0.07671933062374592
dmsr_laplace_b0.5,20260526,0.968675,0.8775908872317303,101.47786794215186,138.1760968017578,34.527729877443164,0.737,0.9015,0.39480000000000004,0.19,0.9496877789497375,0.25540000200271606,0.20859563057892955,0.02084320643916726,0.4727895161246552,0.00931051983498037
