lambda_center,p_lambda_density
-11.9,0.0
-11.7,0.0025075225677031092
-11.5,0.0
-11.3,0.0025075225677031092
-11.1,0.0
-10.9,0.0025075225677031092
-10.7,0.0
-10.5,0.0025075225677031092
-10.3,0.0025075225677031092
-10.1,0.0025075225677031092
-9.9,0.0
-9.7,0.0025075225677031092
-9.5,0.0050150451354062184
-9.3,0.0025075225677031092
-9.1,0.0025075225677031092
-8.9,0.0050150451354062184
-8.7,0.0025075225677031092
-8.5,0.0050150451354062184
-8.3,0.0050150451354062184
-8.1,0.0050150451354062184
-7.8999999999999995,0.007522567703109328
-7.7,0.0050150451354062184
-7.5,0.007522567703109328
-7.3,0.010030090270812437
-7.1,0.007522567703109328
-6.8999999999999995,0.010030090270812437
-6.699999999999999,0.012537612838515547
-6.5,0.012537612838515547
-6.3,0.012537612838515547
-6.1,0.015045135406218655
-5.8999999999999995,0.017552657973921765
-5.699999999999999,0.017552657973921765
-5.5,0.020060180541624874
-5.3,0.022567703109327982
-5.1,0.025075225677031094
-4.8999999999999995,0.027582748244734202
-4.699999999999999,0.03009027081243731
-4.5,0.03510531594784353
-4.3,0.03510531594784353
-4.1,0.04012036108324975
-3.9000000000000004,0.045135406218655964
-3.6999999999999993,0.05015045135406219
-3.5,0.05265797392176529
-3.299999999999999,0.06018054162487462
-3.0999999999999996,0.06519558676028084
-2.9000000000000004,0.07021063189568706
-2.6999999999999993,0.07773319959879639
-2.5,0.0827482447342026
-2.299999999999999,0.09277833500501505
-2.0999999999999996,0.10030090270812438
-1.8999999999999986,0.1078234704112337
-1.6999999999999993,0.11534603811434302
-1.5,0.12286860581745235
-1.299999999999999,0.13039117352056168
-1.0999999999999996,0.137913741223671
-0.8999999999999986,0.14543630892678033
-0.6999999999999993,0.15045135406218654
-0.5,0.15546639919759278
-0.29999999999999893,0.15546639919759278
-0.09999999999999964,0.160481444332999
0.10000000000000142,0.160481444332999
0.3000000000000007,0.15546639919759278
0.5,0.15546639919759278
0.7000000000000011,0.15045135406218654
0.9000000000000004,0.14543630892678033
1.1000000000000014,0.137913741223671
1.3000000000000007,0.13039117352056168
1.5,0.12286860581745235
1.700000000000001,0.11534603811434302
1.9000000000000004,0.1078234704112337
2.1000000000000014,0.10030090270812438
2.3000000000000007,0.09277833500501505
2.5,0.0827482447342026
2.700000000000001,0.07773319959879639
2.9000000000000004,0.07021063189568706
3.1000000000000014,0.06519558676028084
3.3000000000000007,0.06018054162487462
3.5,0.05265797392176529
3.700000000000001,0.05015045135406219
3.9000000000000004,0.045135406218655964
4.100000000000001,0.04012036108324975
4.300000000000001,0.03510531594784353
4.5,0.03510531594784353
4.699999999999999,0.03009027081243731
4.900000000000002,0.027582748244734202
5.100000000000001,0.025075225677031094
5.300000000000001,0.022567703109327982
5.5,0.020060180541624874
5.699999999999999,0.017552657973921765
5.900000000000002,0.017552657973921765
6.100000000000001,0.015045135406218655
6.300000000000001,0.012537612838515547
6.5,0.012537612838515547
6.699999999999999,0.012537612838515547
6.900000000000002,0.010030090270812437
7.100000000000001,0.007522567703109328
7.300000000000001,0.010030090270812437
7.5,0.007522567703109328
7.700000000000003,0.0050150451354062184
7.900000000000002,0.007522567703109328
8.100000000000001,0.0050150451354062184
8.3,0.0050150451354062184
8.5,0.0050150451354062184
8.700000000000003,0.0025075225677031092
8.900000000000002,0.0050150451354062184
9.100000000000001,0.0025075225677031092
9.3,0.0025075225677031092
9.5,0.0050150451354062184
9.700000000000003,0.0025075225677031092
9.900000000000002,0.0
10.100000000000001,0.0025075225677031092
10.3,0.0025075225677031092
10.5,0.0025075225677031092
10.700000000000003,0.0
10.900000000000002,0.0025075225677031092
11.100000000000001,0.0
11.3,0.0025075225677031092
11.5,0.0
11.700000000000003,0.0025075225677031092
11.900000000000002,0.0
