schedule,seed,fid_inception,fid_phi,kid_phi,kid_phi_std,precision_phi,recall_phi,density_phi,coverage_phi,classifier_confidence,balance_error,coverage_m,expected_s,mean_mse,transition_mse,transition_low,lambda_r_star,transition_high
cosine_vp,20260526,71.12065124511719,11.896452856513168,0.8865278031243221,0.49894039342878965,0.9765,0.854,1.1317000000000002,0.8415,0.8503376841545105,0.13010001182556152,0.231525,0.131096006366814,0.24875352833423675,0.1934608116745949,1.5306122448979593,3.979591836734695,5.204081632653061
linear_vp,20260526,65.71036529541016,9.4655973275635,0.7740585544162323,0.7152589692650252,0.9765,0.8595,1.1465,0.8735,0.85922771692276,0.11890000104904175,0.116075,0.07437034040927397,0.24812718401517486,0.16488325446844102,1.5306122448979593,3.979591836734695,5.204081632653061
uniform,20260526,52.74051284790039,6.731542987524437,0.4669186087791366,0.45094468919317027,0.9595,0.9295,1.0090000000000001,0.914,0.8463209271430969,0.02640002965927124,0.124185,0.07595669217352156,0.236058017974392,0.13676670789718628,1.5306122448979593,3.979591836734695,5.204081632653061
dmsr_normal_s0.5,20260526,441.49658203125,1194.4398566167247,4014.113597135663,224.47814137190952,0.009,0.0,0.0019,0.0015,0.9999976754188538,0.5,0.992765,0.4989525682955777,0.7756218615919351,0.24169327318668365,1.5306122448979593,3.979591836734695,5.204081632653061
dmsr_normal_s1.5,20260526,473.0793762207031,291.0096618017915,155.4659524203522,15.0037121374729,0.9975,0.0195,0.8229,0.056,0.9987913966178894,0.5,0.742025,0.37867685827499664,0.39266449816059323,0.20003550350666047,1.5306122448979593,3.979591836734695,5.204081632653061
dmsr_normal_s4.0,20260526,54.822330474853516,14.338305234431296,1.3356432311549333,0.7167588032533277,0.952,0.9455,0.9279999999999999,0.8355,0.8324680924415588,0.0932999849319458,0.35081,0.19342889127569518,0.24933618879731512,0.15169473886489868,1.5306122448979593,3.979591836734695,5.204081632653061
dmsr_laplace_b0.5,20260526,464.2569274902344,598.5873273560027,805.8571108248009,52.18194124869101,0.813,0.001,0.22400000000000003,0.006,0.999931275844574,0.5,0.953245,0.4824520903607632,0.46341800410300493,0.22894122898578645,1.5306122448979593,3.979591836734695,5.204081632653061
dmsr_laplace_b1.5,20260526,86.6653823852539,30.35368141902798,3.775593247037945,0.9932428804202643,0.9105,0.913,0.8063000000000001,0.69,0.8199591040611267,0.14319998025894165,0.682185,0.3514324954029356,0.2613377698027762,0.19009590297937393,1.5306122448979593,3.979591836734695,5.204081632653061
dmsr_laplace_b4.0,20260526,53.60639572143555,11.809736628626169,0.8754196801773224,0.6189591952582828,0.96,0.93,0.9500000000000001,0.853,0.8373124003410339,0.07859998941421509,0.3607,0.19557676594998066,0.24695995130678056,0.1579071894288063,1.5306122448979593,3.979591836734695,5.204081632653061
at0_normal_s0.5,20260526,308.537353515625,330.7458564731407,210.3304408269092,17.51560980821438,0.981,0.0465,0.6549,0.043,0.9963981509208679,0.49870002269744873,0.00117,0.02508332086925452,0.43584360810928047,0.49719218015670774,1.5306122448979593,3.979591836734695,5.204081632653061
at0_normal_s1.5,20260526,127.39201354980469,24.724899146408244,1.8473968856117937,0.6260614023725403,0.975,0.7045,1.1156000000000001,0.6885,0.8543654084205627,0.24529999494552612,0.1532,0.09746343144740906,0.3591030363706523,0.2567943722009659,1.5306122448979593,3.979591836734695,5.204081632653061
at0_normal_s4.0,20260526,53.053550720214844,7.42786761145582,0.5322556038750543,0.40630974115298,0.9645,0.909,1.0904,0.9025,0.8550258874893188,0.08099997043609619,0.25356,0.14209488576274992,0.24751639640599024,0.1729381874203682,1.5306122448979593,3.979591836734695,5.204081632653061
at0_laplace_b0.5,20260526,165.5144805908203,30.791304599593097,2.1404424828577517,0.6039741620009986,0.9735,0.654,1.1384,0.6005,0.8517711758613586,0.2888000011444092,0.02351,0.03601275141690518,0.4020855579554336,0.3103205353021622,1.5306122448979593,3.979591836734695,5.204081632653061
at0_laplace_b1.5,20260526,94.29361724853516,20.79019294230014,1.525118400966759,0.6414616225660063,0.9715,0.7725,1.1032,0.7555,0.857842206954956,0.2249000072479248,0.16554,0.10229261109761524,0.25895393215396323,0.21850075125694274,1.5306122448979593,3.979591836734695,5.204081632653061
at0_laplace_b4.0,20260526,53.81696319580078,8.37285295131812,0.539988078955448,0.475885114454632,0.976,0.917,1.0338,0.8735,0.8531116247177124,0.09460002183914185,0.20521,0.1186296635910007,0.23958718721059996,0.16600762754678727,1.5306122448979593,3.979591836734695,5.204081632653061
