schedule,num_seeds,coverage_m_mean,coverage_m_std,expected_s_norm_mean,expected_s_norm_std,mean_mse_mean,mean_mse_std,mean_bayes_mse_mean,mean_bayes_mse_std,mean_excess_mse_mean,mean_excess_mse_std,transition_mse_mean,transition_mse_std,transition_bayes_mse_mean,transition_bayes_mse_std,transition_excess_mse_mean,transition_excess_mse_std,low_noise_mse_mean,low_noise_mse_std,high_noise_mse_mean,high_noise_mse_std,mean_mode_error_mean,mean_mode_error_std,transition_mode_error_mean,transition_mode_error_std
cosine_vp,3,0.5851566666666667,0.0012367531416306956,0.5707712932318005,0.0003912895124230318,0.5228243642709761,0.0027469657578415496,0.5210409891285962,0.0033153122189343025,0.0018353165567532414,0.0008706666671933232,0.4941792551566053,0.0072737600152658535,0.49300074232397256,0.007703734398404465,0.0011953307141623183,0.0007469588887723076,0.9835706666262464,0.004342882866519385,0.016306570696312635,0.0014188455998506656,0.2822703043619792,0.004384458795926289,0.2609908492476852,0.001709755662364431
dmsr_laplace_b0.5,3,0.986815,0.0003279862802008265,0.9348694539077869,0.00015398099287390298,0.6318043387029321,0.029065429088399593,0.5210409891285962,0.0033153122189343025,0.11067613461518704,0.026320388605181513,0.4951721932049151,0.008307702981699605,0.49300074232397256,0.007703734398404465,0.0020715061725274644,0.0007698333169667268,0.9872474098446394,0.006466481416482579,0.3121407963335514,0.07059763065487798,0.28711344401041666,0.0026395929236389436,0.26091399016203703,0.0015045152387037487
dmsr_normal_mid_s0.8,3,0.9923150000000001,0.00022118996360596396,0.9114827640124222,0.00032112050559811474,0.6917146265739574,0.03211699811095739,0.5210409891285962,0.0033153122189343025,0.17062134959630082,0.03274322563389814,0.4946716102185073,0.008877139602019331,0.49300074232397256,0.007703734398404465,0.001515869194716086,0.0012100636119021736,0.9875165109682564,0.004836039317682833,0.4774150441390002,0.09303926333829436,0.2888214111328125,0.003608317445251241,0.26056586371527773,0.0008581443391999382
dmsr_normal_narrow_s0.3,3,1.0,0.0,0.985454225560798,5.922376893271213e-05,0.6622507098130882,0.03255570423689949,0.5210409891285962,0.0033153122189343025,0.14100666272255089,0.03438266027187286,0.5196530198057493,0.009018893867667023,0.49300074232397256,0.007703734398404465,0.02641082426459804,0.001673557564144005,1.1731894184844662,0.020868819421344463,0.16934660753642006,0.11563129109240809,0.28354085286458336,0.006922141767847916,0.2627269603587963,0.0011886598170929132
dmsr_normal_wide_s1.5,3,0.8563416666666667,0.0006340609855000907,0.7741435471859015,0.0006377657737566691,0.5747439182751501,0.006250498023141225,0.5210409891285962,0.0033153122189343025,0.05370269908817136,0.004496088832144331,0.4943992983963755,0.008519431867957342,0.49300074232397256,0.007703734398404465,0.00135165694896218,0.0007852028566099214,0.9844133607064834,0.004606342526454021,0.15843742026080346,0.011904154527842135,0.28359883626302085,0.002916615782305242,0.2606608072916667,0.0009146980957078569
hang_laplace_lambda_b0.5,3,0.9820766666666666,0.00046942340518270933,0.9236647976497362,0.00016166091835094804,0.6687488639261575,0.02149283301309572,0.5210409891285962,0.0033153122189343025,0.14761620952813245,0.01851226265325458,0.49518527435483756,0.008078635874335674,0.49300074232397256,0.007703734398404465,0.002008567585208867,0.0004249854873951203,0.9858860566158487,0.005339482633170262,0.4155977347373277,0.05025659929249744,0.2880544026692708,0.0012911941262564845,0.2611988208912037,0.0012327253682460975
uniform_lambda,3,0.22335333333333332,0.0006717948595615619,0.25927929411073625,3.640421042286544e-05,0.5224688536999261,0.0029229534626831334,0.5210409891285962,0.0033153122189343025,0.0015228382973570358,0.00045607065510478345,0.4946216415199968,0.0073682754316587535,0.49300074232397256,0.007703734398404465,0.0017433049145404733,0.000991396499888291,0.9833782790887234,0.004833395319935275,0.015270190989871604,0.001164721155424942,0.2836588541666667,0.005266176039749596,0.2602810329861111,0.000740788400847508
