schedule,seed,coverage_m,expected_s_norm,mean_mse,mean_bayes_mse,mean_excess_mse,transition_mse,transition_bayes_mse,transition_excess_mse,low_noise_mse,high_noise_mse,mean_mode_error,transition_mode_error
cosine_vp,20260526,0.587315,0.6253354044607424,0.5047156225598883,0.5004845099239901,0.0041474100964478565,0.550639839635955,0.5482571406496896,0.0021526563998324694,0.9693229506755697,0.07137476126522277,0.1943023681640625,0.050713433159722224
linear_gamma,20260526,0.79109,0.7892060603937674,0.5116542679490521,0.5004845099239901,0.011131222399853868,0.5512959725326962,0.5482571406496896,0.00330970414991801,0.9752800957909946,0.08260276219384237,0.199530029296875,0.05068630642361111
hang_laplace_lambda_b0.5,20260526,0.983615,0.9649899445268817,0.5447349915280938,0.5004845099239901,0.04526965801269398,0.5543608466784159,0.5482571406496896,0.005681174047317149,1.0285830518295025,0.11428471451455896,0.2046112060546875,0.050984700520833336
dmsr_normal_wide_s1.5,20260526,0.78717,0.7918302917694497,0.6275682745501399,0.5004845099239901,0.12733931425900663,0.5523926036225425,0.5482571406496896,0.003890609847278231,0.9731467756731756,0.3648829880085858,0.199786376953125,0.050835503472222224
dmsr_normal_mid_s0.8,20260526,0.945075,0.9185651065984349,1.8186478704214095,0.5004845099239901,1.3186448032894986,0.5530709127585093,0.5482571406496896,0.004283325274526659,0.9797883691458866,3.246142136328148,0.198291015625,0.05152723524305555
dmsr_normal_narrow_s0.3,20260526,1.0,0.9865740199988867,0.5757081359624863,0.5004845099239901,0.0754331832344178,0.5734375268220901,0.5482571406496896,0.023314455239516165,1.0340073314206353,0.17419887221220767,0.18671875,0.05056423611111111
dmsr_laplace_b0.5,20260526,0.960535,0.9400920309438592,0.6883068510331214,0.5004845099239901,0.1880678460438503,0.5548325098223157,0.5482571406496896,0.0060514601775341565,0.9812569227711908,0.5036700650146513,0.1902618408203125,0.050835503472222224
